,pre,pre.1,post,sp_trans_p,treatment
0,32,32,53,0.007581104946777,a5ia
1,32,32,402,0.0011301391362377,a5ia
2,32,32,734,0.0050067680609098,a5ia
3,33,33,92,0.0018259213950808,a5ia
4,33,33,431,0.0023310721440088,a5ia
5,33,33,712,0.0012589836470238,a5ia
6,53,53,86,0.0037055956322705,a5ia
7,53,53,151,0.0022953725935408,a5ia
8,53,53,262,0.0006553823772453,a5ia
9,53,53,316,0.0040382997070134,a5ia
10,57,57,336,0.0006216646306179,a5ia
11,81,81,149,0.0008685878823076,a5ia
12,81,81,707,0.0024283618293212,a5ia
13,86,86,372,0.0012504636577064,a5ia
14,86,86,445,3.341847085661098e-05,a5ia
15,92,92,109,0.0058786648255515,a5ia
16,92,92,149,0.0003323527087381,a5ia
17,92,92,164,0.0005115306701204,a5ia
18,92,92,247,0.0002432134476617,a5ia
19,92,92,368,0.0002328025136057,a5ia
20,92,92,473,0.0044280002714654,a5ia
21,92,92,510,1.7914822561009708e-05,a5ia
22,92,92,755,0.0001725094046438,a5ia
23,105,105,122,0.0049182126771101,a5ia
24,114,114,185,0.0057335269260182,a5ia
25,114,114,205,0.0015494562662403,a5ia
26,114,114,389,2.4863918590418976e-05,a5ia
27,114,114,712,0.0014056153428814,a5ia
28,114,114,771,0.000165164789025,a5ia
29,122,122,149,0.0046948762437323,a5ia
30,136,136,446,0.0060118051935306,a5ia
31,149,149,181,0.0022523546656254,a5ia
32,149,149,185,0.0042494932002723,a5ia
33,149,149,236,0.0003587973938339,a5ia
34,149,149,247,0.000159898410011,a5ia
35,149,149,320,0.00245098602185,a5ia
36,149,149,692,0.0032628189678451,a5ia
37,149,149,742,0.0023345336662041,a5ia
38,151,151,161,0.0105475606366272,a5ia
39,151,151,181,0.0034227614964728,a5ia
40,151,151,185,0.0025067215059261,a5ia
41,151,151,236,0.0004890286285485,a5ia
42,151,151,252,0.0049297304424232,a5ia
43,151,151,328,0.000693845265255,a5ia
44,151,151,330,0.0117673920136551,a5ia
45,151,151,661,0.0054017310358718,a5ia
46,161,161,273,0.0067324121148776,a5ia
47,163,163,397,0.0073064980220098,a5ia
48,164,164,181,0.0029080022126274,a5ia
49,164,164,193,0.0014146932770367,a5ia
50,164,164,262,0.0001130289326608,a5ia
51,164,164,267,0.0012999924357632,a5ia
52,164,164,340,0.0016621913996923,a5ia
53,164,164,714,0.0037752845158777,a5ia
54,173,173,185,0.0020901828910659,a5ia
55,173,173,317,0.0006548121024987,a5ia
56,173,173,324,0.0054222515647831,a5ia
57,181,181,185,0.0074837187382367,a5ia
58,181,181,201,0.0010383222368706,a5ia
59,181,181,247,0.0015344292077437,a5ia
60,181,181,337,0.0004007349424734,a5ia
61,181,181,362,0.0004624745545946,a5ia
62,181,181,413,0.0007935565979406,a5ia
63,181,181,438,0.0061400397065774,a5ia
64,181,181,682,0.0024155905247553,a5ia
65,181,181,727,0.0001460658133206,a5ia
66,185,185,374,0.0009636252509268,a5ia
67,185,185,712,0.0002706563605293,a5ia
68,185,185,727,0.002672398147586,a5ia
69,201,201,316,0.0012001197159945,a5ia
70,201,201,431,0.0001887970019392,a5ia
71,205,205,715,0.0006447732919562,a5ia
72,230,230,368,0.0069175118977874,a5ia
73,231,231,236,0.0004740594419514,a5ia
74,236,236,250,0.0047124574528935,a5ia
75,236,236,771,0.0016989252916585,a5ia
76,247,247,267,0.0013613133226764,a5ia
77,247,247,389,0.0034200475173798,a5ia
78,249,249,250,0.0002763375596135,a5ia
79,249,249,372,0.0019550279065561,a5ia
80,249,249,680,0.0010141830507663,a5ia
81,249,249,722,0.0044087328216887,a5ia
82,250,250,264,0.0055734213349796,a5ia
83,250,250,267,0.0001289790282023,a5ia
84,250,250,318,0.0012612943965768,a5ia
85,250,250,692,0.0004759023839321,a5ia
86,250,250,707,0.0005394072299103,a5ia
87,250,250,712,0.000300353154998,a5ia
88,250,250,728,0.009339654713647,a5ia
89,250,250,765,0.0040003860402945,a5ia
90,250,250,774,0.0043410089645672,a5ia
91,262,262,368,0.0002804016227893,a5ia
92,262,262,374,4.843900986189337e-05,a5ia
93,262,262,420,4.129094000332456e-05,a5ia
94,264,264,316,0.0007342024449392,a5ia
95,264,264,372,0.0002428784525153,a5ia
96,264,264,665,0.0122024556547561,a5ia
97,264,264,719,0.000927004911152,a5ia
98,264,264,734,0.0033522720389763,a5ia
99,316,316,771,0.0053394858306785,a5ia
100,317,317,375,0.0024018916173159,a5ia
101,317,317,431,0.0012818677720304,a5ia
102,317,317,662,0.0037961562487161,a5ia
103,317,317,680,0.0028818862947627,a5ia
104,320,320,372,0.0002514247265038,a5ia
105,320,320,504,0.0004610204151915,a5ia
106,328,328,722,0.0004179172228378,a5ia
107,336,336,510,0.000131118069529,a5ia
108,337,337,755,0.0038801348395323,a5ia
109,340,340,385,0.0001353669608361,a5ia
110,340,340,698,9.292938694146352e-05,a5ia
111,362,362,712,0.0033588496323722,a5ia
112,368,368,389,0.0038191885282834,a5ia
113,370,370,374,0.0129565643214794,a5ia
114,370,370,665,0.0024200293229942,a5ia
115,372,372,389,0.0021828159601864,a5ia
116,385,385,662,0.0018947952079777,a5ia
117,385,385,718,0.0068654505675297,a5ia
118,431,431,714,0.0061529564000071,a5ia
119,445,445,661,0.0061809414486721,a5ia
120,504,504,775,0.0061603203700871,a5ia
121,665,665,719,0.0024615734953882,a5ia
122,707,707,750,0.0048615270430981,a5ia
123,712,712,755,0.0048290095888676,a5ia
124,12,12,32,0.002757469555811,ctr
125,12,12,92,0.0011835013311646,ctr
126,12,12,122,0.0053570038261406,ctr
127,12,12,665,0.0005757117171414,ctr
