,pre,pre.1,post,sp_trans_p,treatment
0,5,5,284,0.0010668832878663,a5ia
1,5,5,339,0.0030751194075163,a5ia
2,5,5,442,0.0005696750120278,a5ia
3,5,5,519,0.0028563870384462,a5ia
4,5,5,553,0.0007079989301557,a5ia
5,9,9,53,0.0013263894949553,a5ia
6,9,9,70,0.0030249399265016,a5ia
7,9,9,121,0.0004670729462682,a5ia
8,9,9,255,0.0001480825575309,a5ia
9,9,9,374,0.0014424136212865,a5ia
10,9,9,404,-0.0005304355888052,a5ia
11,9,9,431,0.0023927181681573,a5ia
12,9,9,580,0.0005777797905247,a5ia
13,9,9,591,0.0022007571832759,a5ia
14,9,9,707,0.0083447235162158,a5ia
15,16,16,42,0.0107797894481854,a5ia
16,16,16,70,0.0070599921218574,a5ia
17,16,16,82,0.0012622389781088,a5ia
18,20,20,110,0.0003244318851728,a5ia
19,20,20,331,0.0019188190814904,a5ia
20,20,20,462,0.0003260015965145,a5ia
21,20,20,465,0.0002946922362047,a5ia
22,20,20,592,0.0007617873753908,a5ia
23,20,20,656,0.0041123206037676,a5ia
24,21,21,107,0.0005781018758226,a5ia
25,21,21,402,0.0013825010554862,a5ia
26,21,21,464,0.007373908637357,a5ia
27,23,23,52,0.0054848734086158,a5ia
28,23,23,59,0.0011351876494644,a5ia
29,23,23,107,0.0034406203096654,a5ia
30,23,23,237,8.981075555893753e-05,a5ia
31,23,23,239,2.7561015323071536e-05,a5ia
32,23,23,563,0.0021970056098567,a5ia
33,23,23,617,0.0002553932500496,a5ia
34,24,24,50,0.0003604597762668,a5ia
35,24,24,62,0.0007855339706464,a5ia
36,24,24,77,0.0030191556153103,a5ia
37,24,24,82,0.0007930793572381,a5ia
38,24,24,92,0.0059599532850928,a5ia
39,24,24,165,0.0017057946739457,a5ia
40,24,24,187,0.0003790092343361,a5ia
41,24,24,323,0.0018886352887544,a5ia
42,24,24,375,0.0004384618224556,a5ia
43,24,24,402,0.0002705356607902,a5ia
44,24,24,556,0.0007692776758639,a5ia
45,24,24,582,0.0025975434480156,a5ia
46,24,24,668,0.0006240646233204,a5ia
47,24,24,670,0.0002851438288766,a5ia
48,24,24,684,0.0001466455030187,a5ia
49,27,27,549,0.0040732704739124,a5ia
50,27,27,680,0.0108336036453424,a5ia
51,37,37,94,0.0022131657095953,a5ia
52,37,37,336,8.110598521350598e-05,a5ia
53,37,37,500,0.0073236570103739,a5ia
54,37,37,668,0.0087669387552502,a5ia
55,37,37,673,0.0001179973201665,a5ia
56,37,37,692,0.0226395873670764,a5ia
57,39,39,56,0.0007382854909718,a5ia
