,pre,pre.1,post,sp_trans_p,treatment
0,0,0,15,0.0008409874084555,a5ia
1,0,0,278,0.002010508232527,a5ia
2,0,0,485,0.0088073084413763,a5ia
3,0,0,887,0.0019081252448273,a5ia
4,0,0,1085,0.0012549047288757,a5ia
5,7,7,12,0.0045576305828642,a5ia
6,7,7,70,0.0026666648454632,a5ia
7,7,7,243,5.476739079454673e-05,a5ia
8,7,7,258,0.0025820042955405,a5ia
9,7,7,395,0.0002469577600167,a5ia
10,7,7,462,0.0029267415895275,a5ia
11,7,7,474,0.0021130605605068,a5ia
12,7,7,566,0.00830455910974,a5ia
13,7,7,1078,0.0021569548436885,a5ia
14,7,7,1168,0.000465383897874,a5ia
15,9,9,183,0.000853440684653,a5ia
16,9,9,243,0.0063664010301588,a5ia
17,9,9,285,0.0005201322416268,a5ia
18,9,9,427,0.0038423881873012,a5ia
19,9,9,474,0.0055654725828788,a5ia
20,9,9,920,0.0001980749587929,a5ia
21,9,9,937,0.0001135572431307,a5ia
22,9,9,939,0.0011392971203841,a5ia
23,11,11,240,0.0037023845538334,a5ia
24,11,11,426,0.005373162077844,a5ia
25,11,11,657,0.0010877669718189,a5ia
26,11,11,664,0.0007688206453018,a5ia
27,11,11,1079,0.0007021314376915,a5ia
28,11,11,1106,0.0002494213695085,a5ia
29,12,12,119,0.0048559267381615,a5ia
30,12,12,148,0.0062252278550894,a5ia
31,12,12,210,0.0003441372368121,a5ia
32,12,12,371,0.002446957284293,a5ia
33,12,12,432,0.0043678350243434,a5ia
34,12,12,474,0.0024235290246191,a5ia
35,12,12,496,0.0053086410071452,a5ia
36,12,12,966,0.0025340118917214,a5ia
37,12,12,1081,0.0009235937556323,a5ia
38,15,15,26,0.0001142237083018,a5ia
39,15,15,1124,0.0057189429539288,a5ia
40,15,15,1131,0.0036804150758673,a5ia
41,15,15,1146,0.0032061366136076,a5ia
42,15,15,1186,0.0063276589187194,a5ia
43,26,26,936,0.0045171269732101,a5ia
44,26,26,946,0.0029765177451695,a5ia
45,26,26,1085,0.0100559059611629,a5ia
46,31,31,169,0.0031551663393878,a5ia
47,31,31,774,0.0165897871593127,a5ia
48,31,31,964,0.0058327403078154,a5ia
49,31,31,1106,0.0028653586779115,a5ia
50,31,31,1235,0.0062713524815433,a5ia
51,36,36,177,0.0007222465761558,a5ia
52,36,36,198,0.001263260867463,a5ia
53,36,36,263,0.0007162691390848,a5ia
54,36,36,333,0.0028062741780517,a5ia
55,36,36,334,0.0021129973554512,a5ia
56,36,36,535,0.0036014278937328,a5ia
57,36,36,540,0.002739679473161,a5ia
58,36,36,621,0.0025746023913435,a5ia
59,36,36,953,0.0013279242709395,a5ia
60,36,36,1106,0.0012711165483453,a5ia
61,36,36,1107,0.0082850188830584,a5ia
62,36,36,1155,0.0024046257965957,a5ia
63,43,43,285,0.0010322344527508,a5ia
64,43,43,953,0.0006912341448552,a5ia
65,43,43,964,0.0029590695490496,a5ia
66,43,43,1106,0.0007239041754941,a5ia
67,44,44,191,0.0002077632420257,a5ia
68,44,44,240,0.0044926173245168,a5ia
69,44,44,371,0.0006089295120558,a5ia
70,44,44,414,0.0020064033972578,a5ia
71,44,44,937,0.0004174936377394,a5ia
