,pre,pre.1,post,sp_trans_p,treatment
0,7,7,248,0.0003311091774096,a5ia
1,7,7,414,0.0136860959546346,a5ia
2,7,7,507,0.0026971639640703,a5ia
3,7,7,640,0.010915453206836,a5ia
4,7,7,755,0.0082931905831252,a5ia
5,7,7,759,0.0062294300792349,a5ia
6,10,10,664,0.0001750483984199,a5ia
7,24,24,28,0.0023514936378038,a5ia
8,24,24,39,0.0057356745904543,a5ia
9,24,24,108,0.0008354493302686,a5ia
10,24,24,160,7.116878887219319e-05,a5ia
11,24,24,205,0.0046254441113985,a5ia
12,24,24,568,0.0026238561715624,a5ia
13,24,24,790,0.0006157155253438,a5ia
14,25,25,153,0.0020205555678009,a5ia
15,28,28,32,0.0019583789178229,a5ia
16,28,28,66,0.0018894421333434,a5ia
17,28,28,108,0.0004305851050879,a5ia
18,28,28,178,0.0004033270558717,a5ia
19,28,28,337,0.0011380504158802,a5ia
20,28,28,377,0.000366338025416,a5ia
21,28,28,500,0.000183277372512,a5ia
22,28,28,546,0.0050202488774665,a5ia
23,28,28,762,0.0037504982058126,a5ia
24,28,28,774,0.0012171708381717,a5ia
25,32,32,239,0.0014857889937292,a5ia
26,32,32,761,0.0027752464020442,a5ia
27,34,34,45,0.0012775308291148,a5ia
28,34,34,500,0.0022956736317021,a5ia
29,34,34,756,0.0036898450992251,a5ia
30,39,39,244,0.0032636622402413,a5ia
31,39,39,615,0.0030336363082567,a5ia
32,39,39,745,0.0003207063096131,a5ia
33,45,45,100,0.0064978600515408,a5ia
34,45,45,113,0.0006795031863996,a5ia
35,45,45,214,0.0055081644596464,a5ia
36,45,45,266,0.0004990617734423,a5ia
37,45,45,309,0.0010864540107219,a5ia
38,45,45,387,0.0030966676961937,a5ia
39,45,45,389,0.0016181606628423,a5ia
40,45,45,745,0.0026765887733942,a5ia
41,61,61,248,0.000487758827098,a5ia
42,61,61,389,0.0095757195748818,a5ia
43,61,61,408,0.0013674007943983,a5ia
44,61,61,500,0.0006784517328936,a5ia
45,61,61,747,6.921166298639453e-05,a5ia
46,66,66,178,0.0003898527426849,a5ia
47,66,66,238,0.0001468778093555,a5ia
48,66,66,239,0.0048485835124609,a5ia
49,66,66,244,0.0022086023189756,a5ia
50,66,66,255,0.0008741792374033,a5ia
51,66,66,303,0.000294525466752,a5ia
52,66,66,323,0.0020018784154725,a5ia
53,66,66,400,0.0020505909970792,a5ia
54,66,66,504,0.0003655616308607,a5ia
55,66,66,634,0.0003865471792262,a5ia
56,66,66,747,0.0025535695160937,a5ia
57,66,66,761,0.0055351426527786,a5ia
58,66,66,767,0.0083582027251965,a5ia
59,84,84,643,0.0007890131227547,a5ia
60,88,88,224,9.808371400091276e-05,a5ia
61,88,88,400,0.0009354693496198,a5ia
62,88,88,444,0.0003654776934156,a5ia
63,88,88,499,0.0002419149680327,a5ia
64,88,88,507,0.0008109946800692,a5ia
65,88,88,561,0.003963443599298,a5ia
66,88,88,790,0.0027203081606806,a5ia
67,93,93,100,0.0027603513905092,a5ia
68,93,93,109,0.0008078661405316,a5ia
69,93,93,178,0.0001584651344117,a5ia
70,93,93,238,0.0012117868771707,a5ia
71,93,93,239,0.0055248926974024,a5ia
72,93,93,303,0.0012491853893784,a5ia
73,93,93,323,0.0054996663148268,a5ia
74,93,93,401,0.0003557497642958,a5ia
75,93,93,452,0.0024455629578067,a5ia
