,pre,pre.1,post,sp_trans_p,treatment
0,0,0,40,0.0013289688619138,a5ia
1,0,0,277,0.0001616014305278,a5ia
2,2,2,216,0.0038001629617952,a5ia
3,2,2,340,0.0005497436809297,a5ia
4,10,10,14,0.0003710394430719,a5ia
5,10,10,259,0.00048714248956,a5ia
6,10,10,342,0.0031242517239826,a5ia
7,13,13,15,0.0016710872026874,a5ia
8,13,13,71,0.003542195894329,a5ia
9,14,14,15,0.0022759081455244,a5ia
10,14,14,40,0.0001465373404108,a5ia
11,14,14,84,2.3185709043332947e-05,a5ia
12,14,14,207,0.0011679665014554,a5ia
13,14,14,208,0.000442222576078,a5ia
14,14,14,350,0.0021974563459125,a5ia
15,14,14,390,0.0001444654269699,a5ia
16,14,14,426,0.0010634241402998,a5ia
17,15,15,55,0.0003121419117717,a5ia
18,15,15,350,0.0015086937986059,a5ia
19,16,16,340,0.0032971015416813,a5ia
20,16,16,352,0.0037060128287555,a5ia
21,18,18,277,0.0015884582309374,a5ia
22,38,38,40,0.0099010977349024,a5ia
23,38,38,55,0.0046633985038238,a5ia
24,38,38,57,0.00270613650999,a5ia
25,38,38,73,0.0001456516993337,a5ia
26,38,38,81,0.0015517426312794,a5ia
27,38,38,87,4.9760661037175774e-05,a5ia
28,38,38,125,0.0016846553636374,a5ia
29,38,38,369,0.0006429778890788,a5ia
30,38,38,437,0.003111596046057,a5ia
31,40,40,55,0.0187572149350701,a5ia
32,40,40,73,0.0020048027526251,a5ia
33,40,40,81,0.0022146305329553,a5ia
34,40,40,87,0.0024539626742286,a5ia
35,40,40,90,0.0002067302020144,a5ia
36,40,40,92,0.0024281057155116,a5ia
37,40,40,308,0.0001099385273367,a5ia
38,40,40,390,0.0007755594654223,a5ia
39,40,40,416,0.0004881424953471,a5ia
40,41,41,255,0.0063103550733477,a5ia
41,41,41,315,0.006303144425605,a5ia
42,43,43,73,0.0005228037345535,a5ia
43,43,43,298,0.0017833092924854,a5ia
44,43,43,326,0.0027326121254008,a5ia
45,55,55,73,0.0005593771765226,a5ia
46,55,55,81,0.001738359091943,a5ia
47,55,55,92,0.0010171331649042,a5ia
48,55,55,207,0.0004504577079035,a5ia
49,55,55,210,0.0063188320665465,a5ia
50,55,55,303,6.537106801591391e-05,a5ia
51,55,55,308,0.0006831682714718,a5ia
52,55,55,409,0.0024113159883334,a5ia
53,57,57,73,0.0026724493575135,a5ia
54,57,57,81,0.0025295601193995,a5ia
55,57,57,87,0.0019030071222194,a5ia
56,57,57,90,0.0018012832679726,a5ia
57,57,57,92,0.0017071939404103,a5ia
58,57,57,95,0.0001505928572371,a5ia
59,57,57,379,0.0001997869991706,a5ia
60,58,58,71,0.0054875245497131,a5ia
61,58,58,87,0.0007546572351773,a5ia
62,58,58,93,0.0027605987943591,a5ia
63,58,58,233,0.0004009860077874,a5ia
64,58,58,242,0.0010439851617324,a5ia
65,71,71,73,0.0003709883431411,a5ia
66,71,71,245,0.0008690067321424,a5ia
67,71,71,263,0.0004679693839059,a5ia
68,71,71,379,0.0002360602229168,a5ia
69,71,71,394,0.0016376617148193,a5ia
70,71,71,413,0.0112779380470387,a5ia
71,71,71,431,0.0005494120842113,a5ia
72,76,76,255,0.0020126714497461,a5ia
73,76,76,394,0.0048489550305377,a5ia
74,81,81,87,0.0043896614979544,a5ia
75,81,81,397,0.0011898186922204,a5ia
76,81,81,434,0.0002723342968939,a5ia
77,84,84,99,0.0007218780766674,a5ia
78,84,84,207,0.0007010302908143,a5ia
79,84,84,408,0.0060458875007628,a5ia
80,84,84,409,0.0026775034450034,a5ia
81,87,87,299,0.000952705586722,a5ia
82,87,87,408,0.0004930078061464,a5ia
83,87,87,413,0.0017883874725058,a5ia
