,node_id,ccs,moduls,treatment,region
0,1,0.3064211824575829,0,ctr,DP
1,1,0.3132825920288003,1,a5ia,DP
2,3,0.5648804986722075,1,ctr,DP
3,3,0.4984250936121512,1,a5ia,DP
4,8,0.0,0,ctr,DP
5,8,0.0,0,a5ia,DP
6,11,0.1828709207880087,0,ctr,DP
7,11,0.1421215791286569,0,a5ia,DP
8,18,0.1453089640228193,0,ctr,DP
9,18,-0.0096379030705348,0,a5ia,DP
10,21,-0.43455870277642,-1,ctr,DP
11,21,-0.1415980177557528,0,a5ia,DP
12,23,0.0,0,ctr,DP
13,23,0.2379190879898665,0,a5ia,DP
14,24,-0.4057809626506884,-1,ctr,DP
15,24,-0.0331292593130664,0,a5ia,DP
16,26,0.3265241133415464,1,ctr,DP
17,26,-0.1847460527339192,0,a5ia,DP
18,31,0.0,0,ctr,DP
19,31,-0.2345066745570344,0,a5ia,DP
20,33,-0.2563919310318172,0,ctr,DP
21,33,-0.1562091231786058,0,a5ia,DP
22,36,0.3766290736563739,1,ctr,DP
23,36,0.4113379037544861,1,a5ia,DP
24,37,0.5990751008344538,1,ctr,DP
25,37,0.3472607473416371,1,a5ia,DP
26,39,-0.0216166846298292,0,ctr,DP
27,39,0.2156641740463782,1,a5ia,DP
28,47,0.2961664018489094,1,ctr,DP
29,47,0.0639869331881465,0,a5ia,DP
30,49,0.4327696974410826,1,ctr,DP
31,49,0.3206186735408171,1,a5ia,DP
32,50,0.5039971555239503,1,ctr,DP
33,50,0.4057222858031756,1,a5ia,DP
34,53,0.0753695292290609,0,ctr,DP
35,53,-0.303603929140649,-1,a5ia,DP
36,55,-0.3326161401793353,0,ctr,DP
37,55,-0.2034477601518871,0,a5ia,DP
38,57,-0.3936250733904568,0,ctr,DP
39,57,-0.043274156585675,0,a5ia,DP
40,59,-0.0551615017944643,0,ctr,DP
41,59,0.2195975510839009,0,a5ia,DP
42,60,-0.3954257269525216,0,ctr,DP
43,60,-0.3149021655796175,-1,a5ia,DP
44,61,-0.4095420533561689,-1,ctr,DP
45,61,-0.1965263378292071,0,a5ia,DP
46,66,-0.6897230812445625,-1,ctr,DP
47,66,-0.0679794219935777,0,a5ia,DP
48,67,-0.404038011256893,-1,ctr,DP
49,67,-0.1507222196172867,0,a5ia,DP
50,69,0.0,0,ctr,DP
51,69,0.1215690654638437,0,a5ia,DP
52,71,-0.4201864465160723,-1,ctr,DP
53,71,-0.3658665502801776,-1,a5ia,DP
54,72,-0.1157786197624417,0,ctr,DP
55,72,0.1739419326881409,0,a5ia,DP
56,75,0.614886832075912,1,ctr,DP
57,75,0.0,0,a5ia,DP
58,78,0.2274156632202219,0,ctr,DP
59,78,0.1638933765930732,0,a5ia,DP
60,80,-0.1890273534680684,0,ctr,DP
61,80,0.0,0,a5ia,DP
62,81,0.3656316181290903,1,ctr,DP
63,81,0.4824586939854887,1,a5ia,DP
64,86,0.4475574349513225,1,ctr,DP
65,86,0.0,0,a5ia,DP
66,87,-0.2953719636007852,-1,ctr,DP
67,87,-0.2077151968355204,0,a5ia,DP
68,93,0.5521496905521173,1,ctr,DP
69,93,0.4081472016355737,1,a5ia,DP
70,95,0.791302125579173,1,ctr,DP
71,95,0.450798786653185,1,a5ia,DP
72,106,0.0,0,ctr,DP
73,106,0.0,0,a5ia,DP
74,107,-0.4248776097512194,-1,ctr,DP
75,107,-0.3476472347078583,-1,a5ia,DP
76,110,-0.1896341798109515,0,ctr,DP
77,110,-0.2711012077537527,0,a5ia,DP
78,111,-0.2641020455782842,-1,ctr,DP
79,111,0.0707052300581117,0,a5ia,DP
80,118,0.0,0,ctr,DP
81,118,0.0,0,a5ia,DP
82,119,0.6183193146590517,1,ctr,DP
83,119,0.0093284668364176,0,a5ia,DP
84,126,0.593118145757175,1,ctr,DP
85,126,0.4565984066489627,1,a5ia,DP
86,130,-0.5790482116467961,-1,ctr,DP
87,130,-0.4475978621984688,-1,a5ia,DP
88,134,0.6818517732122892,1,ctr,DP
89,134,0.4500743841680917,1,a5ia,DP
90,137,0.0,0,ctr,DP
91,137,0.0031129234769275,0,a5ia,DP
92,139,0.0,0,ctr,DP
93,139,0.0,0,a5ia,DP
94,141,-0.5794086600962232,-1,ctr,DP
95,141,-0.6078223091367682,-1,a5ia,DP
96,155,0.4352723919154657,1,ctr,DP
97,155,0.4553699485549839,1,a5ia,DP
98,157,0.6376786408737875,1,ctr,DP
99,157,0.4898681096456627,1,a5ia,DP
100,159,0.2140438682107428,1,ctr,DP
101,159,0.0,0,a5ia,DP
102,160,-0.0839106836883091,0,ctr,DP
103,160,0.0,0,a5ia,DP
104,161,0.311708331093418,0,ctr,DP
105,161,-0.0463458482872031,0,a5ia,DP
106,170,0.0,0,ctr,DP
107,170,0.0,0,a5ia,DP
108,180,0.7467767419637996,1,ctr,DP
109,180,0.3467527416971299,1,a5ia,DP
110,182,0.4412804586717629,1,ctr,DP
111,182,0.1264774053045033,0,a5ia,DP
112,187,-0.5241462682918699,-1,ctr,DP
113,187,-0.152611917910199,0,a5ia,DP
114,188,0.2938103756708407,0,ctr,DP
115,188,0.2002137801531128,0,a5ia,DP
116,189,-0.1494886660768839,0,ctr,DP
117,189,-0.175488172090801,0,a5ia,DP
118,190,0.3103780312563719,1,ctr,DP
119,190,0.1469980777564195,0,a5ia,DP
120,196,0.6257753975044166,1,ctr,DP
121,196,0.6351510572339693,1,a5ia,DP
122,197,0.3641351570573006,1,ctr,DP
123,197,-0.1012944588273203,0,a5ia,DP
124,198,-0.0907041189346548,0,ctr,DP
125,198,-0.2732839253769487,0,a5ia,DP
126,201,0.4075178243827435,1,ctr,DP
127,201,0.3058296198447144,1,a5ia,DP
128,204,0.5968887028170956,1,ctr,DP
129,204,0.4328083645373837,1,a5ia,DP
130,205,0.2679466816002155,0,ctr,DP
131,205,0.2481117008215042,1,a5ia,DP
132,208,0.0,0,ctr,DP
133,208,0.0,0,a5ia,DP
134,211,0.0,0,ctr,DP
135,211,0.0,0,a5ia,DP
136,213,0.5174768608540095,1,ctr,DP
137,213,0.5168457427304748,1,a5ia,DP
138,214,0.0740470449671663,0,ctr,DP
139,214,0.0013329036989299,0,a5ia,DP
140,216,0.6574993055478393,1,ctr,DP
141,216,0.1402713363481816,0,a5ia,DP
142,218,0.1833789264325159,0,ctr,DP
143,218,-0.098611762352915,0,a5ia,DP
144,222,0.6619606884520939,1,ctr,DP
145,222,0.5139230435893732,1,a5ia,DP
146,223,0.6093218813542371,1,ctr,DP
147,223,0.1453718374648607,0,a5ia,DP
148,227,0.5169778807488975,1,ctr,DP
149,227,0.5390281015669788,1,a5ia,DP
150,231,0.7617746863854041,1,ctr,DP
151,231,0.3662227358081756,1,a5ia,DP
152,238,0.774504605606729,1,ctr,DP
153,238,0.5395246613851264,1,a5ia,DP
154,246,0.4989886554295047,1,ctr,DP
155,246,0.3753752819475772,1,a5ia,DP
156,248,0.7784513161257346,1,ctr,IL
157,248,0.2980988677651974,1,a5ia,IL
158,250,-0.1892425471394126,0,ctr,IL
159,250,-0.1621493572150801,0,a5ia,IL
160,253,0.8138268202980032,1,ctr,IL
161,253,0.402118690207669,1,a5ia,IL
162,254,0.6146663851820575,1,ctr,DP
163,254,0.4054649496105512,1,a5ia,DP
164,257,0.8435742619362437,1,ctr,IL
165,257,0.593857265080723,1,a5ia,IL
166,264,0.4069427438082645,1,ctr,IL
167,264,-0.1292747697196635,0,a5ia,IL
168,267,0.646474294158824,1,ctr,IL
169,267,0.2915525728063645,1,a5ia,IL
170,269,0.7173293036589294,1,ctr,IL
171,269,0.3770393004366715,1,a5ia,IL
172,270,0.7076869742997144,1,ctr,IL
173,270,0.2580757563972933,0,a5ia,IL
174,287,0.5834274733206121,1,ctr,IL
175,287,0.5321979133101479,1,a5ia,IL
176,291,0.6692812142357136,1,ctr,IL
177,291,0.4417936736616457,1,a5ia,IL
178,292,0.620874009711219,1,ctr,IL
179,292,0.2038195979955332,0,a5ia,IL
180,294,0.8371377459749552,1,ctr,IL
181,294,0.1674956388404315,0,a5ia,IL
182,297,0.4867854087267636,1,ctr,IL
183,297,0.2897014411271236,1,a5ia,IL
184,301,0.8319003544483827,1,ctr,IL
185,301,0.4686700963344036,1,a5ia,IL
186,302,0.7206386737630418,1,ctr,IL
187,302,0.3958297314414605,1,a5ia,IL
188,305,0.6239500438893766,1,ctr,PrL
189,305,0.3092198802208913,1,a5ia,PrL
190,308,0.6655193946599407,1,ctr,PrL
191,308,0.4021898021089122,1,a5ia,PrL
192,311,0.5156861742908254,1,ctr,IL
193,311,0.3951741686018733,1,a5ia,IL
194,314,0.4490684033042276,1,ctr,IL
195,314,-0.0057247519019025,0,a5ia,IL
196,319,0.5938003755597284,1,ctr,IL
197,319,0.3451362792919921,1,a5ia,IL
198,321,0.0674158601762241,0,ctr,PrL
199,321,-0.0598944432715919,0,a5ia,PrL
200,324,0.7839038211535683,1,ctr,PrL
201,324,0.4402595584395382,1,a5ia,PrL
202,328,0.0965197391082123,0,ctr,PrL
203,328,0.0,0,a5ia,PrL
204,329,0.7018656349507548,1,ctr,PrL
205,329,0.3144857165079612,1,a5ia,PrL
206,331,0.4292101977155847,1,ctr,PrL
207,331,0.2671838575984177,1,a5ia,PrL
208,332,0.2256143224319122,1,ctr,PrL
209,332,0.1620831281457387,0,a5ia,PrL
210,337,-0.3518412426804742,0,ctr,PrL
211,337,-0.5211631240347115,-1,a5ia,PrL
212,338,0.3582773540014193,0,ctr,PrL
213,338,0.0,0,a5ia,PrL
214,340,0.6827551417237969,1,ctr,PrL
215,340,0.4896676629740329,1,a5ia,PrL
216,341,0.7702085578728652,1,ctr,PrL
217,341,0.3030718119090212,1,a5ia,PrL
218,342,0.6501418904654497,1,ctr,PrL
219,342,0.4269127434749275,1,a5ia,PrL
220,345,0.2196955765836941,0,ctr,PrL
221,345,-0.0838058200646673,0,a5ia,PrL
222,347,0.6311887909865664,1,ctr,PrL
223,347,0.4641580462005133,1,a5ia,PrL
224,348,0.3100402583007736,1,ctr,PrL
225,348,0.0425352215697264,0,a5ia,PrL
226,349,0.2964104045600506,0,ctr,PrL
227,349,0.1967959643996044,0,a5ia,PrL
228,350,-0.5042414981248244,-1,ctr,PrL
229,350,-0.2296753069220338,0,a5ia,PrL
230,360,0.0,0,ctr,PrL
231,360,0.0,0,a5ia,PrL
232,362,0.3376483050781649,1,ctr,PrL
233,362,0.0,0,a5ia,PrL
234,363,-0.0072516989298729,0,ctr,PrL
235,363,0.3066210259548106,1,a5ia,PrL
236,366,0.0198628873654151,0,ctr,PrL
237,366,0.0,0,a5ia,PrL
238,368,0.71771538131137,1,ctr,PrL
239,368,0.4233794078549669,1,a5ia,PrL
240,369,0.0,0,ctr,PrL
241,369,0.0,0,a5ia,PrL
242,371,0.2872839944042165,0,ctr,PrL
243,371,0.254176601962244,0,a5ia,PrL
244,372,0.5083109236912159,1,ctr,PrL
245,372,0.3810517894643274,1,a5ia,PrL
246,381,0.7167592343824518,1,ctr,PrL
247,381,0.5868570302844546,1,a5ia,PrL
248,383,0.3471358570650785,0,ctr,PrL
249,383,0.0698656651740575,0,a5ia,PrL
250,384,0.3563355148390537,1,ctr,PrL
251,384,0.4040667118523539,1,a5ia,PrL
252,385,-0.6949040186800615,-1,ctr,PrL
253,385,-0.4456467294081044,-1,a5ia,PrL
254,386,0.478649531061295,1,ctr,PrL
255,386,0.2673603040033778,0,a5ia,PrL
256,387,0.1977515673115237,1,ctr,PrL
257,387,0.0,0,a5ia,PrL
258,388,0.3655523766677234,1,ctr,PrL
259,388,-0.0271131901465571,0,a5ia,PrL
260,392,0.3595116699669096,1,ctr,PrL
261,392,0.1399273325259169,0,a5ia,PrL
262,393,0.7623018142887393,1,ctr,PrL
263,393,0.4757088412093467,1,a5ia,PrL
264,394,0.4765404060045111,1,ctr,PrL
265,394,0.1589359881776464,1,a5ia,PrL
266,397,0.7663818486872076,1,ctr,PrL
267,397,0.5514687940977122,1,a5ia,PrL
268,398,0.2841111883588933,0,ctr,PrL
269,398,0.0924259158435093,0,a5ia,PrL
270,399,-0.6426533665295928,-1,ctr,PrL
271,399,-0.1874543047276258,0,a5ia,PrL
272,402,0.0,0,ctr,PrL
273,402,0.0,0,a5ia,PrL
274,409,0.5080165409747717,1,ctr,PrL
275,409,0.4081790819057946,1,a5ia,PrL
276,412,0.4610411226791408,1,ctr,PrL
277,412,0.1159483994266603,0,a5ia,PrL
278,416,-0.0135193499532507,0,ctr,PrL
279,416,0.1242351719724862,0,a5ia,PrL
280,419,0.4776574134506975,1,ctr,PrL
281,419,0.3873043033811487,1,a5ia,PrL
282,421,0.2532605917843531,0,ctr,PrL
283,421,-0.3010024555828398,0,a5ia,PrL
284,422,0.4813217924643607,1,ctr,PrL
285,422,0.4059658440649341,1,a5ia,PrL
286,423,0.6783625903841652,1,ctr,PrL
287,423,0.3750220858700895,1,a5ia,PrL
288,424,0.0,0,ctr,PrL
289,424,0.0,0,a5ia,PrL
290,426,0.4869931289213913,1,ctr,PrL
291,426,-0.0902258913987933,0,a5ia,PrL
292,427,0.5070381801773811,1,ctr,PrL
293,427,0.0,0,a5ia,PrL
294,428,0.3056737574779649,0,ctr,PrL
295,428,0.1509185657618418,0,a5ia,PrL
296,430,0.5973753705458286,1,ctr,PrL
297,430,0.543890932121468,1,a5ia,PrL
298,431,0.0646896076623073,0,ctr,PrL
