,node_id,ccs,moduls,treatment,region
0,3,0.4186508738985989,1,ctr,DP
1,3,-0.0410457893976599,0,a5ia,DP
2,8,0.1725019166879632,0,ctr,DP
3,8,0.0,0,a5ia,DP
4,9,-0.0640251558350648,0,ctr,DP
5,9,-0.7620369115212392,-1,a5ia,DP
6,10,-0.3972861920688007,-1,ctr,DP
7,10,-0.7262196246624962,-1,a5ia,DP
8,12,-0.5722490249891664,-1,ctr,DP
9,12,0.0,0,a5ia,DP
10,16,0.2881383126479183,0,ctr,DP
11,16,0.1637555972844142,0,a5ia,DP
12,17,0.0996091067678529,0,ctr,DP
13,17,0.2939410437893754,0,a5ia,DP
14,24,0.3132394804386715,0,ctr,DP
15,24,-0.2449093878820875,0,a5ia,DP
16,27,-0.5236515961288458,-1,ctr,DP
17,27,-0.2548193040833029,-1,a5ia,DP
18,29,0.1264236269291881,0,ctr,DP
19,29,0.1185399837775975,0,a5ia,DP
20,34,0.1273574150823898,0,ctr,DP
21,34,-0.464020711341237,-1,a5ia,DP
22,37,0.0,0,ctr,DP
23,37,0.0,0,a5ia,DP
24,40,-0.2795124390271002,0,ctr,DP
25,40,-0.7424535828175868,-1,a5ia,DP
26,41,-0.0483916487960977,0,ctr,DP
27,41,-0.8765684063156257,-1,a5ia,DP
28,44,-0.2931005900065556,-1,ctr,DP
29,44,-0.8255225058056199,-1,a5ia,DP
30,52,0.4853849487216524,1,ctr,DP
31,52,-0.1338232647029411,0,a5ia,DP
32,54,-0.6600055556172846,-1,ctr,DP
33,54,-0.8378466427404749,-1,a5ia,DP
34,58,-0.5270627451416127,-1,ctr,DP
35,58,-0.6914094601051122,-1,a5ia,DP
36,59,-0.5027029189213214,-1,ctr,DP
37,59,-0.4925388059867331,-1,a5ia,DP
38,62,-0.618658429538106,-1,ctr,DP
39,62,-0.8656496183290925,-1,a5ia,DP
40,64,-0.5783028700318893,-1,ctr,DP
41,64,-0.7148852765030723,-1,a5ia,DP
42,65,0.1710770119667996,0,ctr,DP
43,65,0.7463020700230003,1,a5ia,DP
44,68,0.5397659973999711,1,ctr,DP
45,68,0.2230562561806242,0,a5ia,DP
46,73,0.715719952443916,1,ctr,DP
47,73,0.3929852553917266,1,a5ia,DP
48,82,-0.0242233802597806,0,ctr,DP
49,82,0.1265689618773541,0,a5ia,DP
50,88,-0.5265156279514217,-1,ctr,DP
51,88,-0.0832582769271405,0,a5ia,DP
52,90,0.0,0,ctr,DP
53,90,0.0,0,a5ia,DP
54,99,-0.6288180263841452,-1,ctr,DP
55,99,-0.4843138879941058,-1,a5ia,DP
56,109,0.1795304392271025,0,ctr,DP
57,109,0.5435109278991987,1,a5ia,DP
58,114,-0.0247278303092256,0,ctr,DP
59,114,0.8225078056422849,1,a5ia,DP
60,115,-0.0003706707852309,0,ctr,DP
61,115,0.1426620295781064,0,a5ia,DP
62,123,-0.5077798642207135,-1,ctr,DP
63,123,-0.7335108167868531,-1,a5ia,DP
64,126,-0.5131154790608784,-1,ctr,DP
65,126,-0.8234202602251136,-1,a5ia,DP
66,135,-0.6028092478447634,-1,ctr,DP
67,135,0.0,0,a5ia,DP
68,136,-0.4838929321436905,-1,ctr,DP
69,136,-0.7458971766352959,-1,a5ia,DP
70,139,0.3092265469616329,0,ctr,DP
71,139,0.6146681629795886,1,a5ia,DP
72,140,0.6398262202913365,1,ctr,DP
73,140,0.6577157523972489,1,a5ia,DP
74,145,-0.508477205302281,-1,ctr,DP
75,145,-0.7575270836342626,-1,a5ia,DP
76,151,-0.5429104767830754,-1,ctr,DP
77,151,-0.4143974933054811,-1,a5ia,DP
78,155,-0.5299596662185135,-1,ctr,DP
79,155,-0.8226460294003266,-1,a5ia,DP
80,157,-0.0661020678007533,0,ctr,DP
81,157,-0.1787117634640385,0,a5ia,DP
82,163,-0.7238168298739912,-1,ctr,DP
83,163,-0.7456517512107758,-1,a5ia,DP
84,200,-0.4541788242091578,-1,ctr,DP
85,200,0.2101310248037241,0,a5ia,DP
86,202,-0.6870671896354403,-1,ctr,DP
87,202,-0.7061527350303891,-1,a5ia,DP
88,206,0.4630700341114901,1,ctr,DP
89,206,0.2605420060222891,0,a5ia,DP
90,210,0.5047060522894699,1,ctr,DP
91,210,0.6477196413293481,1,a5ia,DP
92,212,-0.2228869209657885,0,ctr,IL
93,212,0.242875143057145,0,a5ia,IL
94,251,0.0814786830964788,0,ctr,IL
95,251,-0.3276823075811953,0,a5ia,IL
96,264,-0.592367470749675,-1,ctr,IL
97,264,-0.7525082512065329,-1,a5ia,IL
98,282,-0.5743032700363337,-1,ctr,IL
99,282,0.2210269002988922,0,a5ia,IL
100,285,-0.5344321603573372,-1,ctr,IL
101,285,0.0,0,a5ia,IL
102,287,0.0,0,ctr,IL
103,287,0.0,0,a5ia,IL
104,288,0.5712583473149702,1,ctr,IL
105,288,-0.1720983566484071,0,a5ia,IL
106,293,0.2938334870387449,0,ctr,IL
107,293,0.0423342481583128,0,a5ia,IL
108,298,-0.4753276620832702,-1,ctr,IL
109,298,-0.612462970295531,-1,a5ia,IL
110,300,0.1411895687729863,0,ctr,IL
111,300,-0.561206680074223,-1,a5ia,IL
112,301,-0.2601628906987855,0,ctr,IL
113,301,-0.8447209413437927,-1,a5ia,IL
114,302,-0.6036969299658885,-1,ctr,IL
115,302,-0.905204280047556,-1,a5ia,IL
116,303,0.6377488638762653,1,ctr,IL
