,node_id,ccs,moduls,treatment,region
0,2,0.4266990107333454,1,ctr,DP
1,2,0.6206557850642785,1,a5ia,DP
2,3,0.0,0,ctr,DP
3,3,0.0,0,a5ia,DP
4,4,0.5865385170946343,1,ctr,DP
5,4,0.7476616406848964,1,a5ia,DP
6,18,0.148201012944817,0,ctr,DP
7,18,-0.5090277230852334,-1,a5ia,DP
8,19,-0.2190336494097689,0,ctr,DP
9,19,0.0,0,a5ia,DP
10,23,0.4514903498927765,1,ctr,DP
11,23,0.7592746586073177,1,a5ia,DP
12,27,-0.5857091745463837,-1,ctr,DP
13,27,0.0,0,a5ia,DP
14,29,-0.4083214257936199,-1,ctr,DP
15,29,0.0,0,a5ia,DP
16,31,0.0937177177205818,0,ctr,DP
17,31,0.3061865131834798,1,a5ia,DP
18,34,0.0,0,ctr,DP
19,34,0.4448797332938418,1,a5ia,DP
20,37,0.0,0,ctr,DP
21,37,0.2712745697174413,0,a5ia,DP
22,40,-0.5060354003933376,-1,ctr,DP
23,40,-0.4517267781383061,-1,a5ia,DP
24,41,-0.2865978510872343,0,ctr,DP
25,41,0.1312827920310225,0,a5ia,DP
26,46,0.1289805442282692,0,ctr,DP
27,46,0.6019031322570251,1,a5ia,DP
28,50,0.0,0,ctr,DP
29,50,0.0,0,a5ia,DP
30,58,-0.3697369970777452,-1,ctr,DP
31,58,-0.33511750130557,0,a5ia,DP
32,60,0.0,0,ctr,DP
33,60,0.1314501199802197,0,a5ia,DP
34,63,-0.1320499709555806,0,ctr,DP
35,63,0.0,0,a5ia,DP
36,64,0.0349573316817991,0,ctr,DP
37,64,0.7114856831742575,1,a5ia,DP
38,65,0.4618109090101,1,ctr,DP
39,65,0.1239391824218482,0,a5ia,DP
40,66,0.0564170713007922,0,ctr,DP
41,66,-0.3789093889353653,-1,a5ia,DP
42,72,0.0,0,ctr,DP
43,72,-0.4210413918223298,-1,a5ia,DP
44,74,-0.5112635720982742,-1,ctr,DP
45,74,-0.6393812940454163,-1,a5ia,DP
46,75,0.0,0,ctr,DP
47,75,0.0,0,a5ia,DP
48,76,0.579815506652814,1,ctr,DP
49,76,0.1653818324379021,0,a5ia,DP
50,78,0.4435493727708085,1,ctr,DP
51,78,0.5700814453493928,1,a5ia,DP
52,80,0.0,0,ctr,DP
53,80,0.0,0,a5ia,DP
54,85,0.0,0,ctr,DP
55,85,0.0,0,a5ia,DP
56,88,0.0493027771734166,0,ctr,DP
57,88,-0.3004273380815342,0,a5ia,DP
58,90,0.0,0,ctr,DP
59,90,0.0,0,a5ia,DP
60,91,0.6913886747993633,1,ctr,DP
61,91,0.5535523728041423,1,a5ia,DP
62,96,0.2594655496172179,0,ctr,DP
63,96,0.0,0,a5ia,DP
64,99,0.5058385093167701,1,ctr,DP
65,99,0.7151092789919888,1,a5ia,DP
66,102,0.020470449671663,0,ctr,DP
67,102,-0.3121194679940888,0,a5ia,DP
68,104,-0.2460963119069681,-1,ctr,DP
69,104,-0.4830803090346298,-1,a5ia,DP
70,105,0.0,0,ctr,DP
71,105,-0.2024318502734083,0,a5ia,DP
72,108,0.3480629784775386,0,ctr,DP
73,108,0.331677463082923,0,a5ia,DP
74,112,-0.0420813564595162,0,ctr,DP
75,112,-0.1344081750250761,0,a5ia,DP
76,117,-0.4354248093533955,-1,ctr,DP
77,117,-0.6267758131740507,-1,a5ia,DP
78,118,0.4233803380825806,1,ctr,DP
79,118,0.0,0,a5ia,DP
80,120,0.0,0,ctr,DP
81,120,0.4532999550530476,1,a5ia,DP
82,131,-0.3719805775619729,0,ctr,DP
83,131,0.2289252102801142,0,a5ia,DP
84,132,-0.3914016822409137,0,ctr,DP
85,132,0.2138823764708496,0,a5ia,DP
86,134,0.0,0,ctr,DP
87,134,0.0,0,a5ia,DP
88,135,0.3508378173417752,1,ctr,IL
89,135,0.6360138679210678,1,a5ia,IL
90,138,0.7155141723796931,1,ctr,IL
91,138,0.7689894332159246,1,a5ia,IL
92,140,0.6422760252891699,1,ctr,IL
93,140,0.8408777875309725,1,a5ia,IL
94,141,0.5274574161935133,1,ctr,IL
95,141,0.1018829098101089,0,a5ia,IL
96,145,0.1903381148679429,0,ctr,IL
97,145,0.206590831716298,0,a5ia,IL
98,148,0.4998957766197402,1,ctr,IL
99,148,0.1007117856865076,0,a5ia,IL
100,158,0.5761921497546347,1,ctr,IL
101,158,0.5601306681185346,1,a5ia,IL
102,159,0.5826673629706995,1,ctr,IL
103,159,0.7858260647340525,1,a5ia,IL
104,160,-0.1141777130857009,0,ctr,IL
105,160,-0.2468045417928169,-1,a5ia,IL
106,170,0.0,0,ctr,IL
107,170,0.0,0,a5ia,IL
108,173,0.6831849242769363,1,ctr,IL
109,173,0.776120623562484,1,a5ia,IL
110,176,0.6025573617484637,1,ctr,IL
111,176,0.5700814453493928,1,a5ia,IL
112,187,0.4894036600406671,1,ctr,PrL
113,187,0.2994548828320315,1,a5ia,PrL
114,192,0.0,0,ctr,PrL
115,192,-0.4228445357246258,-1,a5ia,PrL
116,198,0.6159979555328392,1,ctr,PrL
117,198,0.8520952455027279,1,a5ia,PrL
118,199,0.1780450893898821,0,ctr,IL
119,199,0.0429195879954221,0,a5ia,IL
120,203,0.2183824264714052,0,ctr,PrL
121,203,0.005195613284592,0,a5ia,PrL
122,204,0.412961921799131,1,ctr,PrL
123,204,0.5083340926010289,1,a5ia,PrL
124,205,0.4571534032941374,1,ctr,PrL
125,205,0.3366272958588428,1,a5ia,PrL
126,208,0.1621613573484149,0,ctr,PrL
127,208,0.0390417671307459,0,a5ia,PrL
128,214,0.0726368070756341,0,ctr,PrL
129,214,0.6881307570084112,1,a5ia,PrL
130,219,0.5926208068978543,1,ctr,PrL
131,219,0.7200746674963054,1,a5ia,PrL
132,220,0.6078303092256581,1,ctr,PrL
133,220,0.7750850565006278,1,a5ia,PrL
134,225,0.1822789142101578,0,ctr,PrL
135,225,0.3676365292947699,1,a5ia,PrL
136,226,0.1036615962399582,0,ctr,PrL
137,226,0.2992971651298593,1,a5ia,PrL
138,227,0.0,0,ctr,PrL
139,227,0.0,0,a5ia,PrL
140,231,0.0,0,ctr,PrL
141,231,0.3863923382965977,1,a5ia,PrL
142,238,-0.5304867831864799,-1,ctr,PrL
143,238,0.2988476423540591,1,a5ia,PrL
144,239,0.7654929499216658,1,ctr,PrL
145,239,0.6715759063989599,1,a5ia,PrL
146,240,0.4474427493638818,1,ctr,PrL
147,240,0.4067769641884909,1,a5ia,PrL
148,242,-0.0904481160901787,0,ctr,PrL
149,242,0.3694596606628962,1,a5ia,PrL
150,250,0.2265378547363539,0,ctr,PrL
151,250,0.0960619562439582,0,a5ia,PrL
152,252,0.4117361304014488,1,ctr,PrL
153,252,0.4136734852609473,1,a5ia,PrL
154,256,0.5018620206891188,1,ctr,AC
155,256,0.0030560339559328,0,a5ia,AC
156,260,-0.4542321581350904,-1,ctr,AC
157,260,0.0,0,a5ia,AC
158,267,0.5796986225624868,1,ctr,AC
