,pre,pre.1,post,sp_trans_p,treatment
0,0,0,94,0.0026990300539133,a5ia
1,0,0,110,0.0001325166879748,a5ia
2,0,0,463,0.0012527148947208,a5ia
3,0,0,507,0.0007751404678238,a5ia
4,3,3,40,0.0200564069253917,a5ia
5,3,3,44,0.0097834148572598,a5ia
6,3,3,46,0.0090098310504937,a5ia
7,3,3,391,8.28687948253165e-05,a5ia
8,3,3,489,0.001339871959495,a5ia
9,3,3,583,0.000478262105329,a5ia
10,3,3,605,0.0056256681282084,a5ia
11,3,3,607,0.0044594269709133,a5ia
12,5,5,44,0.0043044486848656,a5ia
13,5,5,46,0.0016592492195162,a5ia
14,5,5,420,0.0003334301338182,a5ia
15,5,5,502,0.0001334502815089,a5ia
16,8,8,17,0.001119404956114,a5ia
17,8,8,20,0.0010605086597462,a5ia
18,8,8,44,0.0011779167354265,a5ia
19,8,8,46,0.0010816239100769,a5ia
20,8,8,109,0.0003774888079729,a5ia
21,8,8,188,0.0003596693402396,a5ia
22,8,8,284,0.0028588772089697,a5ia
23,8,8,523,0.0006385939606514,a5ia
24,9,9,12,0.010669382975866,a5ia
25,9,9,17,0.0091146519470153,a5ia
26,9,9,18,0.000617417921127,a5ia
27,9,9,41,0.0006440453738601,a5ia
28,9,9,300,0.0012661526258877,a5ia
29,9,9,303,0.0028663892073848,a5ia
30,9,9,573,0.0039726173294757,a5ia
31,12,12,245,0.0143991141138452,a5ia
32,12,12,264,0.0057724835395347,a5ia
33,12,12,303,0.0036576698492119,a5ia
34,12,12,466,0.0014803555294421,a5ia
35,12,12,467,0.0030821942612814,a5ia
36,13,13,46,0.0001654555885817,a5ia
37,13,13,218,0.0044800218388991,a5ia
38,13,13,400,0.0048250827449631,a5ia
39,13,13,447,0.007673209701333,a5ia
40,17,17,94,0.0047664945414834,a5ia
41,17,17,245,0.0069412313496332,a5ia
42,17,17,343,0.0003085994049857,a5ia
43,17,17,357,0.0007075991312202,a5ia
44,17,17,488,0.0012451757969556,a5ia
45,17,17,603,-0.0007021302821625,a5ia
46,18,18,391,0.00223096120191,a5ia
47,18,18,458,0.0004887239621529,a5ia
48,18,18,497,0.0034974602840544,a5ia
49,18,18,595,0.0020019343455741,a5ia
50,19,19,44,0.0051455515324762,a5ia
51,19,19,46,0.0008223362662233,a5ia
52,19,19,110,0.0003473518446544,a5ia
53,19,19,468,0.0003356486408138,a5ia
54,20,20,44,0.0003099575062677,a5ia
55,20,20,303,0.0013111802414746,a5ia
56,23,23,48,0.0083496578426668,a5ia
57,23,23,188,0.0062075622725177,a5ia
58,23,23,425,7.405245588071319e-05,a5ia
59,23,23,489,0.0023135212826274,a5ia
60,23,23,575,0.0080412804798341,a5ia
61,30,30,35,0.0050615503242023,a5ia
62,30,30,160,0.000454616897878,a5ia
63,30,30,425,0.0006002930834781,a5ia
64,30,30,451,0.0010193744876508,a5ia
65,30,30,452,0.0031426109944768,a5ia
66,30,30,480,0.0005659890066459,a5ia
67,30,30,534,0.0002759286770792,a5ia
68,35,35,44,0.0091958748589379,a5ia
69,35,35,341,0.0017296302434102,a5ia
70,35,35,378,0.0104873456360033,a5ia
71,35,35,404,0.0001615049194091,a5ia
72,35,35,468,0.0136352764484823,a5ia
73,40,40,218,0.001044995997381,a5ia
74,40,40,600,0.0010138069207005,a5ia
75,42,42,44,0.0113018277447782,a5ia
76,42,42,46,0.006344290773309,a5ia
77,42,42,334,0.0035775130949998,a5ia
78,42,42,456,0.0036461156876383,a5ia
79,42,42,568,0.0018874923419679,a5ia
80,44,44,47,0.008495944573512,a5ia
