,pre,pre.1,post,sp_trans_p,treatment
0,2,2,4,0.0261211826108936,a5ia
1,2,2,23,0.0051686581645771,a5ia
2,2,2,46,0.0037099549114389,a5ia
3,2,2,135,0.0008800049322741,a5ia
4,2,2,250,0.0016640696677923,a5ia
5,2,2,318,0.0023660454392616,a5ia
6,4,4,23,0.0034309596303006,a5ia
7,4,4,46,0.001814706833307,a5ia
8,4,4,91,0.0021715714557272,a5ia
9,4,4,176,0.0004229691353107,a5ia
10,4,4,205,0.0002026755524857,a5ia
11,4,4,388,7.027706565168601e-05,a5ia
12,4,4,396,0.0015434761350871,a5ia
13,23,23,31,0.0079491489982637,a5ia
14,23,23,72,0.0025589413541722,a5ia
15,23,23,91,0.0007870241259152,a5ia
16,23,23,173,0.0001323472321434,a5ia
17,23,23,199,0.0007730575787326,a5ia
18,23,23,387,0.0005242333646815,a5ia
19,23,23,392,0.0004319512563882,a5ia
20,23,23,397,8.607182260138291e-05,a5ia
21,31,31,220,-8.635399175436348e-05,a5ia
22,46,46,102,0.0008218069056571,a5ia
23,46,46,187,0.0001768029733192,a5ia
24,46,46,198,0.0019445299193328,a5ia
25,46,46,205,0.0004213804591767,a5ia
26,46,46,226,0.0021085020302028,a5ia
27,46,46,256,0.000579705139267,a5ia
28,46,46,406,0.008842022429406,a5ia
29,58,58,205,0.0065174127639847,a5ia
30,60,60,176,0.010576255138943,a5ia
31,63,63,381,0.0004001862001224,a5ia
32,64,64,252,0.0008284854302662,a5ia
33,66,66,240,0.0040185567376575,a5ia
34,72,72,99,0.0010388391936911,a5ia
35,72,72,252,0.0009124875831608,a5ia
36,74,74,187,0.0023953168200798,a5ia
37,74,74,280,0.001638927152225,a5ia
38,78,78,99,0.0048118387380051,a5ia
39,78,78,140,0.0010256683051112,a5ia
40,78,78,159,0.0001292308608985,a5ia
41,78,78,198,0.0014968907007083,a5ia
42,78,78,199,0.0007962720047372,a5ia
43,78,78,214,0.0004326540983488,a5ia
44,78,78,238,0.0016116120627895,a5ia
45,78,78,337,0.0003018048491253,a5ia
46,78,78,387,0.0005163463784709,a5ia
47,85,85,91,0.001579054199443,a5ia
48,85,85,135,0.0021586661640298,a5ia
49,85,85,158,0.0065017434841008,a5ia
50,85,85,220,0.0002281600808563,a5ia
51,88,88,99,0.0024189957111893,a5ia
52,91,91,199,0.0004710728757887,a5ia
53,91,91,321,0.0014221215682827,a5ia
54,99,99,117,0.0026137522389164,a5ia
55,99,99,160,0.0010445020550311,a5ia
56,99,99,198,0.0011324123238326,a5ia
57,99,99,337,0.0001809933386863,a5ia
58,104,104,173,0.0067461217343067,a5ia
59,105,105,173,0.001216733136262,a5ia
60,105,105,176,0.0038306809842575,a5ia
61,108,108,382,0.002594609322371,a5ia
62,112,112,187,0.0011021922592835,a5ia
63,112,112,250,0.0006285272417943,a5ia
64,112,112,280,0.0027486178201987,a5ia
65,112,112,388,0.00098796765663,a5ia
66,117,117,220,0.0009346218995152,a5ia
67,120,120,239,0.0009872997755534,a5ia
68,131,131,205,0.0085882798160456,a5ia
69,132,132,159,0.0012165988470407,a5ia
70,132,132,242,0.0002785153823048,a5ia
71,132,132,387,0.0120942914752758,a5ia
72,135,135,252,0.0037810158010102,a5ia
73,135,135,321,0.0149000383200444,a5ia
74,140,140,176,0.0002528832291827,a5ia
75,140,140,225,0.0004275035745293,a5ia
76,140,140,388,0.0002920760875516,a5ia
77,140,140,389,0.0015177094438362,a5ia
78,140,140,402,0.0042055904281603,a5ia
79,145,145,316,0.0068149347459722,a5ia
80,158,158,159,0.0009089090569115,a5ia
81,158,158,170,0.0031841066497791,a5ia
82,158,158,321,0.0020227961380272,a5ia
