,pre,pre.1,post,sp_trans_p,treatment
0,1,1,190,0.0003263849581133,a5ia
1,1,1,540,3.123806886764016e-05,a5ia
2,1,1,545,0.002868338568333,a5ia
3,1,1,867,0.0016350103747783,a5ia
4,1,1,873,0.0006632025196194,a5ia
5,3,3,196,0.0001513737665234,a5ia
6,3,3,433,0.0020842706738951,a5ia
7,3,3,500,0.0004007401037223,a5ia
8,3,3,578,0.0016422394578994,a5ia
9,3,3,693,0.0011632639727091,a5ia
10,3,3,855,0.0015793931816048,a5ia
11,11,11,71,0.0011810816152216,a5ia
12,11,11,341,0.0026153983507603,a5ia
13,11,11,539,0.0009569019973584,a5ia
14,11,11,605,0.0014630878509931,a5ia
15,11,11,770,0.0015461561880903,a5ia
16,18,18,264,0.002527565451721,a5ia
17,18,18,430,0.0021762190765173,a5ia
18,18,18,614,0.0014057090689125,a5ia
19,18,18,693,0.0023111957242682,a5ia
20,18,18,744,0.0020310070311698,a5ia
21,21,21,47,0.0023447519770119,a5ia
22,21,21,81,0.0009411080028164,a5ia
23,21,21,182,0.0011485749003141,a5ia
24,21,21,441,0.0004789481773977,a5ia
25,21,21,465,0.0017377664172232,a5ia
26,21,21,466,0.0067340821517515,a5ia
27,21,21,616,0.0027329879064601,a5ia
28,23,23,213,0.0006839456478434,a5ia
29,23,23,267,0.0016188646685545,a5ia
30,23,23,340,9.16363796209796e-05,a5ia
31,23,23,342,0.0016045540497955,a5ia
32,23,23,614,0.0034257734612758,a5ia
33,24,24,36,0.0046426014923323,a5ia
34,24,24,61,0.0011580133816581,a5ia
35,24,24,66,0.0012168336603455,a5ia
36,24,24,81,0.0050684550868908,a5ia
37,24,24,294,0.0008909491921541,a5ia
38,24,24,385,0.0016878345039529,a5ia
39,24,24,677,0.0013240306698577,a5ia
40,24,24,859,0.0032360334352803,a5ia
41,26,26,368,0.0002469033102872,a5ia
42,26,26,394,0.0040084318766197,a5ia
43,33,33,442,0.0102471440327034,a5ia
44,33,33,481,0.0007464889911921,a5ia
45,36,36,47,0.0030165600946841,a5ia
46,36,36,59,0.0009018735675791,a5ia
47,36,36,81,0.008416990881072,a5ia
48,36,36,188,0.0004584022325035,a5ia
49,36,36,388,0.002077033490464,a5ia
50,36,36,501,0.0008541461068431,a5ia
51,36,36,502,0.0011919141920454,a5ia
52,36,36,700,0.0006552422150601,a5ia
53,36,36,878,0.0022040438836779,a5ia
54,37,37,71,0.0005962817928034,a5ia
55,37,37,81,0.0088850237277905,a5ia
56,37,37,93,0.000246701642568,a5ia
57,37,37,347,0.0011749172042233,a5ia
58,37,37,466,0.0010828475113537,a5ia
59,37,37,507,0.0004424827381624,a5ia
60,37,37,554,0.0002098679473506,a5ia
61,37,37,679,0.0016652777916249,a5ia
62,37,37,850,0.0249479654440062,a5ia
63,39,39,66,0.0072931057071502,a5ia
64,39,39,67,0.0006309055188572,a5ia
65,39,39,71,0.0036632579501958,a5ia
66,39,39,81,0.0157846104402285,a5ia
67,39,39,119,0.0060330571839244,a5ia
68,39,39,314,0.0048360658387721,a5ia
69,39,39,372,0.0003709310607104,a5ia
70,39,39,487,1.783110616377509e-05,a5ia
71,39,39,588,0.0009240468882818,a5ia
72,47,47,110,0.0017834869675129,a5ia
73,47,47,189,0.0009587557624626,a5ia
74,47,47,287,0.0015617966641162,a5ia
75,47,47,480,0.0010380240602951,a5ia
76,47,47,672,0.0003775942350464,a5ia
77,47,47,850,0.002290563162699,a5ia
78,47,47,868,0.00088946316916,a5ia
79,47,47,870,0.005557185027822,a5ia
80,49,49,57,0.000612259927738,a5ia
81,49,49,134,0.0015472920701367,a5ia
82,49,49,397,0.0001704266864677,a5ia
83,49,49,431,8.528873515566138e-06,a5ia
84,49,49,465,0.0009077950371204,a5ia
85,49,49,540,0.0009869410941893,a5ia
86,49,49,549,0.0001911548538823,a5ia
87,49,49,610,0.0001492574008526,a5ia
88,49,49,621,0.0023927026151556,a5ia
89,49,49,850,0.0002993828362732,a5ia
90,49,49,880,0.0012411090993128,a5ia
91,50,50,66,0.0032930727356306,a5ia
92,50,50,81,0.0011956468739216,a5ia
93,50,50,87,8.926490446264923e-05,a5ia
94,50,50,214,0.00094461035473,a5ia
95,50,50,381,0.0020877285560766,a5ia
96,50,50,433,0.0014662815122885,a5ia
97,50,50,435,0.0007620171839107,a5ia
98,50,50,495,0.0028087776824611,a5ia
99,50,50,498,9.794777489104815e-05,a5ia
100,50,50,513,0.0023386467090952,a5ia
101,50,50,621,0.0004999438647164,a5ia
102,50,50,850,0.0016083454401494,a5ia
103,53,53,155,0.0003048644255088,a5ia
104,53,53,238,0.002296980240165,a5ia
105,53,53,393,0.006818603171339,a5ia
106,55,55,72,0.0019379242176824,a5ia
107,55,55,213,0.0069073596726484,a5ia
108,55,55,324,0.0005517365238247,a5ia
109,55,55,341,0.0007081013371048,a5ia
110,55,55,392,0.0027373188398841,a5ia
111,55,55,433,0.0081272059975351,a5ia
112,55,55,445,0.0035150530953512,a5ia
113,55,55,835,0.0006752392369658,a5ia
114,55,55,850,0.0005654187659787,a5ia
115,55,55,865,0.0012478605382192,a5ia
116,55,55,871,0.0017649735035189,a5ia
117,57,57,81,0.0055947914059219,a5ia
118,57,57,161,0.0028572015757417,a5ia
119,57,57,294,0.0001644273635554,a5ia
120,57,57,677,0.0014161587042693,a5ia
121,57,57,850,0.0003222574152836,a5ia
122,57,57,859,0.0042687782273325,a5ia
123,59,59,81,0.0197017430727483,a5ia
124,59,59,384,0.0007597231977959,a5ia
125,59,59,487,0.0021724285109386,a5ia
126,59,59,497,0.0032011785106032,a5ia
127,59,59,556,0.0002315942735979,a5ia
128,59,59,766,0.000784410440676,a5ia
129,60,60,126,0.0004204413761868,a5ia
130,60,60,340,0.0006628890061349,a5ia
131,60,60,677,0.000431521448211,a5ia
132,60,60,695,0.0020877349244503,a5ia
133,60,60,740,7.818739839908495e-05,a5ia
134,61,61,93,0.0070654240999515,a5ia
135,61,61,213,-0.0006391598489117,a5ia
136,61,61,292,0.0025319965050583,a5ia
137,61,61,582,0.0042327188158455,a5ia
138,61,61,851,0.0005060525895477,a5ia
139,66,66,81,0.0007644533691061,a5ia
140,66,66,157,0.000458176693613,a5ia
141,66,66,227,0.0021917401528725,a5ia
142,66,66,254,0.0005967966689619,a5ia
143,66,66,291,0.0004861536793346,a5ia
144,66,66,308,0.0005543179270404,a5ia
145,66,66,494,0.0010549462446319,a5ia
146,66,66,539,0.0009012615457807,a5ia
147,66,66,622,0.0001418573216068,a5ia
148,66,66,661,0.0002236029379058,a5ia
149,66,66,832,0.0071757929952779,a5ia
150,66,66,850,0.0015351577050375,a5ia
151,66,66,871,0.0059502584960084,a5ia
152,66,66,886,0.000460599770349,a5ia
153,67,67,110,0.0034056795426872,a5ia
154,67,67,294,0.0014756978521016,a5ia
155,67,67,441,0.0036030432766268,a5ia
156,67,67,660,0.0023128551633027,a5ia
157,69,69,71,0.001346337130148,a5ia
158,69,69,615,0.0043167131482231,a5ia
159,69,69,740,0.0091513566871164,a5ia
160,71,71,81,0.0009570093745831,a5ia
161,71,71,110,0.0005969510633204,a5ia
162,71,71,399,0.0004608240326559,a5ia
163,71,71,426,0.0007271571607108,a5ia
164,71,71,461,0.00177605829026,a5ia
165,71,71,576,0.0010035694534114,a5ia
166,72,72,81,0.0271187622917646,a5ia
167,72,72,134,0.003549239538503,a5ia
168,72,72,246,0.0010126045603904,a5ia
169,72,72,319,0.000169259372908,a5ia
170,72,72,613,0.0039823258673708,a5ia
171,72,72,660,0.0029225658839316,a5ia
172,72,72,727,0.0010621526613626,a5ia
173,72,72,833,0.00301851035351,a5ia
174,72,72,850,0.0041248408374164,a5ia
175,72,72,853,0.0015548775810629,a5ia
176,72,72,871,0.0060512615994633,a5ia
177,78,78,155,0.0087712491310274,a5ia
178,78,78,267,0.0004272123158652,a5ia
179,81,81,93,0.0017657841105745,a5ia
180,81,81,134,0.0022694416849396,a5ia
181,81,81,329,0.0002468558263913,a5ia
182,81,81,332,0.0002473460255615,a5ia
183,81,81,536,0.0001361233928379,a5ia
184,81,81,850,0.0028461275287008,a5ia
185,81,81,859,0.0004171986258024,a5ia
186,86,86,677,0.0009625509993754,a5ia
187,87,87,119,0.0091486034144551,a5ia
188,87,87,155,0.0012468586885297,a5ia
189,87,87,238,0.0022758257690234,a5ia
190,87,87,481,-0.0004067674199383,a5ia
191,87,87,661,0.0032279521515388,a5ia
192,87,87,822,0.0010034117010349,a5ia
193,93,93,190,0.0015050478955808,a5ia
194,93,93,201,0.0009137689418429,a5ia
195,93,93,214,0.0007372780009621,a5ia
196,93,93,497,0.0025553642482996,a5ia
197,93,93,870,0.001027269516989,a5ia
198,95,95,107,0.0009659135405247,a5ia
199,95,95,126,7.33719094758549e-05,a5ia
200,95,95,345,0.0014949352942904,a5ia
201,95,95,363,0.0035997996672603,a5ia
202,95,95,556,0.0009625431690319,a5ia
203,95,95,566,0.0004689922089198,a5ia
204,95,95,604,0.0011597510472753,a5ia
205,95,95,613,0.0036583665399321,a5ia
206,95,95,857,0.0016769755357875,a5ia
207,107,107,110,0.003666430067275,a5ia
208,107,107,324,0.0001133601633775,a5ia
209,107,107,671,0.0002158687672717,a5ia
210,107,107,693,0.0010489420647122,a5ia
211,107,107,785,0.002129909363211,a5ia
212,107,107,833,0.0015516921050438,a5ia
213,107,107,853,0.0010057337373942,a5ia
214,110,110,381,0.0015162622023423,a5ia
215,110,110,416,0.004716462216239,a5ia
216,110,110,483,0.0022000795781448,a5ia
217,110,110,515,0.0005314436327547,a5ia
218,110,110,539,0.0003931119983649,a5ia
219,110,110,553,0.0027216612468553,a5ia
220,110,110,677,0.0053100644240733,a5ia
221,111,111,345,0.004758300718752,a5ia
222,111,111,630,0.0044473273753942,a5ia
223,111,111,850,0.0007290339683212,a5ia
224,119,119,141,0.0012370566523577,a5ia
225,119,119,329,0.0011930605309751,a5ia
226,119,119,501,0.0169898894376765,a5ia
227,119,119,566,0.0004947287234303,a5ia
228,119,119,685,0.0013444361979559,a5ia
229,119,119,871,0.0066133087687519,a5ia
230,119,119,878,0.0016235384293155,a5ia
231,126,126,180,0.0003139786297906,a5ia
232,126,126,337,1.1804259545181162e-06,a5ia
233,126,126,441,0.0001134464972041,a5ia
234,126,126,482,0.0103690876353542,a5ia
235,126,126,616,0.0005178892491357,a5ia
236,126,126,627,0.0007287574417443,a5ia
237,126,126,850,0.0004833123367333,a5ia
238,130,130,216,0.0057708797136951,a5ia
239,130,130,385,0.0022872749769544,a5ia
240,130,130,430,0.0029685449615511,a5ia
241,130,130,515,0.0019021186459154,a5ia
242,134,134,319,0.0029428968364638,a5ia
243,134,134,431,0.0014429391630162,a5ia
244,134,134,433,0.0002185403171149,a5ia
245,134,134,474,0.0008879673324431,a5ia
246,134,134,482,0.0008057211308867,a5ia
247,134,134,507,0.0115346531796435,a5ia
248,134,134,585,0.000587089682607,a5ia
249,134,134,677,0.00129623855477,a5ia
250,137,137,204,0.0011017789507443,a5ia
251,137,137,231,0.0018217393661799,a5ia
252,137,137,502,0.0075545383595902,a5ia
253,137,137,582,0.0016843682100317,a5ia
254,141,141,385,0.0008153410297,a5ia
255,141,141,428,0.0010443340339901,a5ia
