,pre,pre.1,post,sp_trans_p,treatment
0,0,0,6,0.0024204237732697,a5ia
1,0,0,7,0.0005576905509958,a5ia
2,0,0,68,0.0004751143389376,a5ia
3,0,0,90,0.0006017367155098,a5ia
4,0,0,283,0.0003418316520505,a5ia
5,6,6,88,0.0005515630786275,a5ia
6,6,6,90,0.0020929136572313,a5ia
7,6,6,800,0.0056945120779932,a5ia
8,7,7,107,0.001630156887867,a5ia
9,7,7,176,0.0009832345864003,a5ia
10,7,7,313,0.0014767439019687,a5ia
11,7,7,327,0.0006066817790797,a5ia
12,7,7,518,0.0074781573736781,a5ia
13,7,7,519,0.0103877658150223,a5ia
14,7,7,687,0.0001119587834119,a5ia
15,7,7,746,0.0006497781087445,a5ia
16,7,7,788,0.0013087810510732,a5ia
17,7,7,814,0.0011436629895664,a5ia
18,9,9,75,0.0015484337381653,a5ia
19,9,9,562,0.0003848585912794,a5ia
20,9,9,690,0.0001432957921635,a5ia
21,14,14,61,4.733487020304808e-05,a5ia
22,14,14,145,0.000465121845416,a5ia
23,14,14,152,0.0035900515089743,a5ia
24,14,14,156,0.0002543233773163,a5ia
25,14,14,236,0.0004402253345031,a5ia
26,14,14,279,0.0004151385257274,a5ia
27,14,14,296,0.000176805821425,a5ia
28,14,14,519,0.0002619441907062,a5ia
29,14,14,682,0.0012025179279486,a5ia
30,14,14,696,0.0006831610281672,a5ia
31,14,14,717,0.0003349418328683,a5ia
32,21,21,54,0.001445194389813,a5ia
33,21,21,107,0.0003040023879953,a5ia
34,21,21,380,0.0031721753118568,a5ia
35,21,21,487,0.0004794854844939,a5ia
36,21,21,557,0.0023287178251368,a5ia
37,21,21,565,0.0013819119644867,a5ia
38,21,21,690,0.0016187785782628,a5ia
39,21,21,792,0.0030212509178488,a5ia
40,21,21,816,0.0005354563468505,a5ia
41,34,34,90,0.0015013289710931,a5ia
42,34,34,385,0.0002481408979032,a5ia
43,34,34,562,6.279555946169663e-05,a5ia
44,34,34,724,0.0019580800329472,a5ia
45,34,34,727,0.0018564546109113,a5ia
46,34,34,753,0.0042487858926661,a5ia
47,47,47,91,0.0001992030586531,a5ia
48,47,47,385,0.0012358996679942,a5ia
49,47,47,388,0.0020505365992726,a5ia
50,47,47,421,0.0032792620888169,a5ia
51,47,47,751,0.0009420839119584,a5ia
52,47,47,754,0.0009618814381704,a5ia
53,49,49,236,0.0016204971224546,a5ia
54,49,49,301,0.0003977475009081,a5ia
55,49,49,506,0.0033628767076727,a5ia
56,49,49,685,0.0005223110606734,a5ia
57,49,49,744,0.0059532730048714,a5ia
58,49,49,747,0.003800843230975,a5ia
59,54,54,62,0.001223961022434,a5ia
60,54,54,75,0.0001303385937716,a5ia
61,54,54,88,0.001337289928357,a5ia
62,54,54,290,0.000887596718321,a5ia
63,54,54,477,0.0001499207152235,a5ia
64,54,54,682,0.0014650326188981,a5ia
65,54,54,814,0.0071006502482854,a5ia
66,61,61,127,0.0050406168625831,a5ia
67,61,61,156,0.0003388550746842,a5ia
68,61,61,321,0.0016618204331649,a5ia
69,62,62,75,0.0012722199583491,a5ia
70,62,62,76,0.0027343327610227,a5ia
71,62,62,97,0.0034084147064923,a5ia
72,62,62,156,0.0011403383941024,a5ia
73,62,62,186,0.0039009352134906,a5ia
74,62,62,534,0.0004054617934704,a5ia
75,62,62,554,0.0004992589695994,a5ia
76,62,62,737,0.0048978330181146,a5ia
77,62,62,752,0.0102475296307258,a5ia
78,62,62,762,0.0007991206831148,a5ia
79,68,68,238,0.0070600385200338,a5ia
80,68,68,415,0.0017012227760763,a5ia
81,68,68,562,0.0012065590137833,a5ia
82,68,68,593,0.0011589007965519,a5ia
83,68,68,707,0.0029235007263714,a5ia
84,68,68,753,0.0025799575377313,a5ia
85,75,75,107,5.0099430311298376e-05,a5ia
86,75,75,239,0.0037740432345599,a5ia
87,75,75,362,0.0004744851306163,a5ia
88,75,75,706,0.0013321136523671,a5ia
89,75,75,753,0.0005995803757314,a5ia
90,76,76,130,0.0036911421363858,a5ia
91,76,76,506,0.0038237380222962,a5ia
92,81,81,90,0.0058487158433685,a5ia
93,81,81,297,0.0012966216303248,a5ia
94,81,81,301,0.001439260929971,a5ia
95,81,81,388,0.0038760043185543,a5ia
96,81,81,685,0.0001533970898255,a5ia
97,88,88,90,7.064389983657549e-05,a5ia
98,88,88,114,0.0026619802867847,a5ia
99,88,88,131,0.0001473537904925,a5ia
100,88,88,163,0.0031534236033396,a5ia
101,88,88,165,0.0028424743524833,a5ia
102,88,88,597,0.0005836887870225,a5ia
103,88,88,682,0.0003493184936991,a5ia
104,88,88,685,0.0001857719271613,a5ia
105,88,88,753,0.0014190370373353,a5ia
106,88,88,763,0.0010446549071195,a5ia
107,90,90,107,2.84357566386062e-05,a5ia
108,90,90,131,1.318718386382825e-05,a5ia
109,90,90,188,0.0064706531495264,a5ia
110,90,90,499,0.0020393363461718,a5ia
111,91,91,236,0.0010251022113219,a5ia
112,91,91,302,0.0025698898371288,a5ia
113,91,91,463,0.0020560865630765,a5ia
114,91,91,565,0.0001361231096583,a5ia
115,91,91,612,0.0055650000211971,a5ia
116,91,91,800,0.006444840427925,a5ia
117,94,94,130,0.0010560287293943,a5ia
118,94,94,709,0.0031865739640682,a5ia
119,97,97,127,0.0009907798927872,a5ia
120,97,97,170,0.0003695129664237,a5ia
121,97,97,302,0.0001992732594721,a5ia
122,97,97,355,0.0008757598758619,a5ia
123,107,107,170,0.0026648099958654,a5ia
124,107,107,327,0.0012181910963532,a5ia
125,107,107,358,0.0006948920357745,a5ia
126,107,107,421,0.0010694213305412,a5ia
127,107,107,554,0.002777062914136,a5ia
128,114,114,156,0.0012126680850018,a5ia
129,114,114,418,0.0004935048175402,a5ia
130,114,114,709,0.0005042665549957,a5ia
131,114,114,737,0.0076252508267022,a5ia
132,127,127,145,0.001650253500357,a5ia
133,127,127,185,0.0025681555199576,a5ia
134,130,130,145,0.0009861950074942,a5ia
135,130,130,239,0.0023696472001714,a5ia
136,130,130,304,0.0003005470211229,a5ia
137,130,130,641,0.000689589634709,a5ia
138,131,131,145,0.0020095535230454,a5ia
139,131,131,313,0.0009341470307313,a5ia
140,131,131,322,0.0001939017005153,a5ia
141,131,131,374,0.0015818959426714,a5ia
142,131,131,751,5.783743827503241e-05,a5ia
143,131,131,753,0.0016463208656986,a5ia
144,131,131,778,1.1017782115013697e-05,a5ia
145,134,134,296,0.0002267519178366,a5ia
146,134,134,686,0.003422291829061,a5ia
147,134,134,702,0.012021521092253,a5ia
148,138,138,283,0.0029205527952667,a5ia
149,138,138,597,0.003897601337798,a5ia
150,138,138,687,0.0004530477332584,a5ia
151,138,138,712,0.0012072172165888,a5ia
152,138,138,751,0.0110770199875427,a5ia
153,145,145,245,0.0002543618485422,a5ia
154,145,145,385,0.0008131691202616,a5ia
155,145,145,465,0.0068656793430024,a5ia
156,145,145,576,0.0012311853555054,a5ia
157,145,145,706,0.0011507467503611,a5ia
158,145,145,756,0.0017779109227633,a5ia
159,145,145,762,0.0002606198680188,a5ia
160,145,145,764,0.0017810739113813,a5ia
161,152,152,377,0.0010255009695837,a5ia
162,152,152,486,0.002267735845131,a5ia
163,152,152,506,0.0079198490632137,a5ia
164,152,152,540,0.0005009161441624,a5ia
165,152,152,707,0.0048446889205032,a5ia
166,152,152,738,0.0019139386153769,a5ia
167,156,156,418,0.0007245117679286,a5ia
168,156,156,737,0.0124983159128201,a5ia
169,156,156,806,0.0003554220377904,a5ia
170,160,160,236,0.0001724235181976,a5ia
171,160,160,534,0.0003194032515929,a5ia
172,160,160,753,0.0025308353153562,a5ia
173,160,160,756,0.0010398257840524,a5ia
174,160,160,814,0.0006811908852966,a5ia
175,163,163,477,0.0011167881196484,a5ia
176,163,163,493,0.0006999745761782,a5ia
177,163,163,652,0.0064236588988322,a5ia
178,163,163,816,0.0023494858739215,a5ia
179,164,164,189,0.0040089110104183,a5ia
180,164,164,296,1.0542992764782376e-05,a5ia
181,164,164,329,0.0089529533452154,a5ia
182,164,164,682,0.0008508161217593,a5ia
183,164,164,685,9.21423443298805e-05,a5ia
184,164,164,691,0.0018472500372187,a5ia
185,164,164,737,0.0009672688901186,a5ia
186,164,164,753,0.0002546352417272,a5ia
187,165,165,239,0.0037418006139676,a5ia
188,165,165,304,0.0009215655227005,a5ia
189,165,165,638,0.0010002602915909,a5ia
190,165,165,727,0.0030792212463563,a5ia
191,170,170,434,0.009949207719819,a5ia
192,170,170,689,0.004004739753889,a5ia
193,170,170,727,0.002708811965374,a5ia
194,176,176,189,0.0040768931669304,a5ia
195,176,176,304,0.0053472855254983,a5ia
196,176,176,712,0.0035199001362635,a5ia
197,185,185,486,0.0007004374106093,a5ia
198,185,185,747,0.0045755753372337,a5ia
199,186,186,380,0.0046615201229594,a5ia
200,186,186,717,0.0008494835450582,a5ia
201,188,188,385,0.0012468518743825,a5ia
202,189,189,362,0.000149952167708,a5ia
203,189,189,486,0.0001040053003783,a5ia
204,189,189,682,0.0015470419138928,a5ia
205,189,189,691,0.0008172103388986,a5ia
206,189,189,706,0.0007478616036241,a5ia
207,189,189,726,0.0004231700494737,a5ia
208,189,189,753,0.0008323758318917,a5ia
209,189,189,775,0.0036603043855032,a5ia
210,189,189,795,0.0009306507100451,a5ia
211,194,194,285,9.2308489901511e-05,a5ia
212,194,194,331,0.0003423409624657,a5ia
213,194,194,737,0.0002630746118827,a5ia
214,194,194,795,0.000296656760394,a5ia
215,194,194,806,0.0025628057987619,a5ia
216,194,194,816,0.0026787252893986,a5ia
217,232,232,239,0.0036908048082552,a5ia
218,232,232,362,0.0001292654593567,a5ia
219,232,232,750,0.0041622865182763,a5ia
220,232,232,764,0.0004929090000219,a5ia
221,234,234,413,0.001649322415334,a5ia
222,234,234,451,0.0009693409794515,a5ia
223,234,234,641,0.0011594564336529,a5ia
224,234,234,765,0.000241734402883,a5ia
225,236,236,279,0.000783491890266,a5ia
226,236,236,696,0.0005789129845529,a5ia
227,236,236,800,0.0042103586090037,a5ia
228,238,238,348,0.0006727194531316,a5ia
229,238,238,638,0.0037774094273362,a5ia
230,238,238,641,2.992715704801946e-05,a5ia
231,238,238,697,0.0009961174592666,a5ia
232,239,239,304,0.0026426150864849,a5ia
233,239,239,725,0.0016293179795821,a5ia
234,239,239,744,0.0016505539484897,a5ia
235,239,239,778,0.0084984348122829,a5ia
236,245,245,723,0.0020659585062309,a5ia
237,245,245,750,0.0121034140450495,a5ia
238,255,255,304,0.0006788491457726,a5ia
239,255,255,463,5.662951645755282e-05,a5ia
240,255,255,557,0.0002773835616095,a5ia
241,255,255,682,0.0001285783513331,a5ia
242,255,255,778,0.0050826370123753,a5ia
243,270,270,333,0.000199987644077,a5ia
244,270,270,377,0.0011102736729215,a5ia
245,270,270,540,0.0005077907991364,a5ia
246,270,270,652,0.0002477268197682,a5ia
247,270,270,747,0.0042699254309705,a5ia
248,270,270,750,0.0038710238698192,a5ia
249,270,270,756,0.0003781742521428,a5ia
250,270,270,775,0.007704128554341,a5ia
251,279,279,377,0.0018897086658614,a5ia
252,279,279,421,0.0012362436706325,a5ia
253,279,279,697,0.0001929312404869,a5ia
254,283,283,331,0.0006507028750923,a5ia
255,283,283,415,0.000189073775641,a5ia
256,283,283,418,0.0003155925686345,a5ia
257,283,283,534,0.0004175485670524,a5ia
258,283,283,687,0.0004255933895978,a5ia
259,285,285,348,0.001183421411848,a5ia
260,285,285,564,0.0009180222170504,a5ia
261,285,285,697,0.0016624928966266,a5ia
262,285,285,792,0.0057189853023548,a5ia
263,290,290,477,0.0008196571703165,a5ia
264,290,290,707,0.0018037491138646,a5ia
265,290,290,781,0.0078812744840463,a5ia
266,296,296,309,0.0068689652696298,a5ia
267,296,296,374,0.0018562946748479,a5ia
268,296,296,540,0.000172699451726,a5ia
269,296,296,687,3.7271233196339154e-05,a5ia
270,297,297,499,0.0027204233389641,a5ia
271,301,301,304,0.0020195004513923,a5ia
272,301,301,312,0.0001834803567542,a5ia
273,301,301,327,0.000654053258757,a5ia
274,301,301,342,0.0002066070497069,a5ia
275,301,301,400,0.000941996679781,a5ia
276,301,301,707,0.0013827617431489,a5ia
277,301,301,747,0.0003938477775186,a5ia
278,302,302,380,0.0016257535419181,a5ia
279,302,302,690,0.0012471395985185,a5ia
280,302,302,744,0.0040022873073498,a5ia
281,302,302,756,0.0021031784096852,a5ia
282,302,302,795,0.0006328387549671,a5ia
283,304,304,463,0.0018668084778335,a5ia
284,304,304,717,0.0036882827751706,a5ia
285,304,304,762,0.0063869069426617,a5ia
286,309,309,727,0.0051317226363024,a5ia
287,312,312,331,0.0026633419232215,a5ia
288,312,312,377,0.0006465306017405,a5ia
289,312,312,418,0.0006314413116652,a5ia
290,312,312,421,0.0023794234196167,a5ia
291,312,312,499,0.0027134500404975,a5ia
292,312,312,707,0.000962310684245,a5ia
293,312,312,738,0.0026658030371542,a5ia
294,312,312,744,0.0018296004210639,a5ia
295,312,312,778,0.0003621303150992,a5ia
296,312,312,786,0.0009682115668684,a5ia
297,313,313,690,0.0016631535095881,a5ia
298,313,313,691,0.0009943748919795,a5ia
299,321,321,554,0.0004697995762943,a5ia
300,321,321,562,0.0077041181426258,a5ia
301,321,321,685,0.0010464741243536,a5ia
302,321,321,697,0.0019097772404289,a5ia
303,322,322,377,0.0015547102492272,a5ia
304,322,322,418,0.0002479543198206,a5ia
305,322,322,493,0.0003592302809355,a5ia
306,322,322,738,0.0037034314872369,a5ia
307,322,322,786,0.0318983350813875,a5ia
308,327,327,377,0.0018766105975125,a5ia
309,327,327,540,0.0001770607270628,a5ia
310,327,327,564,0.0062314839433977,a5ia
311,327,327,690,0.0010159132632021,a5ia
312,331,331,333,0.0011989504665723,a5ia
313,331,331,691,0.0002179812749827,a5ia
314,331,331,750,0.0046609735931083,a5ia
315,331,331,764,0.0079553125770236,a5ia
316,331,331,816,0.0009832282980161,a5ia
317,333,333,377,0.0028417670151401,a5ia
318,333,333,415,0.0019422143439049,a5ia
319,342,342,385,5.154718503963887e-05,a5ia
320,342,342,400,0.0003638672779172,a5ia
321,342,342,744,0.0027799938123194,a5ia
322,348,348,506,0.0013353967605227,a5ia
323,349,349,534,0.0018778737889862,a5ia
324,349,349,593,0.001682139399641,a5ia
325,349,349,753,0.0064529255736558,a5ia
326,354,354,486,0.0008937336988827,a5ia
327,354,354,487,0.0007576803757529,a5ia
328,354,354,727,0.0007888222517675,a5ia
329,355,355,415,0.0001840523915683,a5ia
330,355,355,522,0.0036280319515743,a5ia
331,356,356,362,0.0005283456789208,a5ia
332,356,356,486,0.0002998996071021,a5ia
333,356,356,534,0.0002682934548689,a5ia
334,356,356,557,0.0013535255493558,a5ia
335,356,356,792,0.0018682854169206,a5ia
336,357,357,380,0.0085510071371421,a5ia
337,357,357,748,0.0014657984666224,a5ia
338,358,358,374,0.0029149874025275,a5ia
339,358,358,380,0.0013706280081336,a5ia
340,358,358,385,0.0021183906746378,a5ia
341,358,358,388,0.0002125468708849,a5ia
342,358,358,752,0.0690816322281439,a5ia
343,358,358,781,0.0004593171619755,a5ia
344,362,362,380,0.0001133789179748,a5ia
345,362,362,385,0.0052283316232593,a5ia
346,362,362,400,0.000218265053243,a5ia
347,362,362,415,0.000609464000972,a5ia
348,362,362,506,0.0013319617368299,a5ia
349,362,362,690,0.0004948821011201,a5ia
350,362,362,764,0.0003833311928918,a5ia
351,377,377,700,0.0024333199596175,a5ia
352,380,380,738,0.006483549263724,a5ia
353,380,380,781,0.0034110329068698,a5ia
354,381,381,752,0.0011326185293267,a5ia
355,381,381,808,0.002206128591388,a5ia
356,385,385,738,0.0008173948228391,a5ia
