,pre,pre.1,post,sp_trans_p,treatment
0,0,0,50,0.0038748759924195,a5ia
1,0,0,70,0.0022211263308886,a5ia
2,0,0,172,0.0002459173359369,a5ia
3,0,0,185,0.0038939232425536,a5ia
4,0,0,533,0.0004122502873594,a5ia
5,0,0,650,0.002057796907684,a5ia
6,0,0,981,0.0047744558951005,a5ia
7,0,0,985,0.0106647089290696,a5ia
8,2,2,589,0.0027130843530869,a5ia
9,6,6,151,0.0001299485550732,a5ia
10,6,6,274,0.0031802617612936,a5ia
11,6,6,379,0.0043942225235545,a5ia
12,6,6,650,0.0003843691359234,a5ia
13,6,6,782,0.0003506477883279,a5ia
14,6,6,849,0.0010285974335252,a5ia
15,6,6,980,0.0009921075708226,a5ia
16,6,6,1040,0.0038202555359691,a5ia
17,8,8,17,0.0067653454687619,a5ia
18,8,8,50,0.0011729504176527,a5ia
19,8,8,139,0.0024576959671256,a5ia
20,8,8,274,0.0011015265447799,a5ia
21,8,8,318,0.0019306621413124,a5ia
22,8,8,431,0.0013522602866521,a5ia
23,8,8,741,0.0051038338228394,a5ia
24,8,8,773,0.0043460415231756,a5ia
25,8,8,962,0.0013086798781626,a5ia
26,8,8,967,0.0047601037707455,a5ia
27,8,8,978,0.0012766511633884,a5ia
28,8,8,981,0.0096969376590746,a5ia
29,14,14,16,0.0082152119978773,a5ia
30,14,14,50,0.0164183246821923,a5ia
31,14,14,78,0.0077527856040713,a5ia
32,14,14,251,0.0108136143918036,a5ia
33,14,14,274,0.0011527187287118,a5ia
34,14,14,494,0.0113741981755256,a5ia
35,14,14,621,0.008030991873375,a5ia
36,14,14,662,0.0141144702017245,a5ia
37,14,14,962,0.0034444170933924,a5ia
38,14,14,1010,0.0035687735147725,a5ia
39,16,16,50,0.004189576117485,a5ia
40,16,16,274,0.001783232120722,a5ia
41,16,16,288,0.0009347048967353,a5ia
42,16,16,542,0.0048734891753757,a5ia
43,16,16,569,0.0006086415042373,a5ia
44,16,16,849,0.0019137714002039,a5ia
45,16,16,953,0.0004528387483606,a5ia
46,16,16,962,0.0041262381858521,a5ia
47,16,16,970,0.0072536469818308,a5ia
48,17,17,30,0.0032813150277651,a5ia
49,17,17,251,0.0026567038620831,a5ia
50,17,17,675,0.0011005798863473,a5ia
51,24,24,889,0.0066958670626923,a5ia
52,25,25,547,0.0010741385767078,a5ia
53,25,25,772,0.0003296704891895,a5ia
54,28,28,179,0.0030419398079864,a5ia
55,28,28,237,0.0001754461920118,a5ia
56,28,28,452,0.0010339217146235,a5ia
57,28,28,576,0.0007485561525929,a5ia
58,28,28,772,0.0013188238429826,a5ia
59,28,28,869,0.0048894880055984,a5ia
60,30,30,50,0.0085895098705191,a5ia
61,30,30,70,0.004565513015554,a5ia
62,30,30,237,0.0006016972123558,a5ia
63,30,30,274,0.0004851731671229,a5ia
64,30,30,513,0.0037814872739502,a5ia
65,30,30,547,0.004080856794341,a5ia
66,30,30,675,0.0007434416294806,a5ia
67,30,30,853,0.002669318343663,a5ia
68,31,31,278,0.0066893912492738,a5ia
69,31,31,632,0.00438751851838,a5ia
70,31,31,662,0.0026314179955239,a5ia
71,50,50,151,0.00181822595223,a5ia
72,50,50,318,0.0005605536324622,a5ia
73,50,50,322,0.0002125531705534,a5ia
74,50,50,405,0.0017860316414202,a5ia
75,50,50,547,0.0043883041273002,a5ia
76,50,50,566,5.416215156395926e-05,a5ia
77,50,50,568,0.0009542640674249,a5ia
78,50,50,869,0.0058577753849211,a5ia
79,50,50,970,0.0042427383637865,a5ia
80,68,68,288,0.0020736051047858,a5ia
