,node_id,ccs,moduls,treatment,region
0,12,-0.4001249780745709,-1,ctr,DP
1,12,0.0,0,a5ia,DP
2,32,0.7159107007756464,1,ctr,DP
3,32,0.101283347592751,0,a5ia,DP
4,33,0.5129692013888477,1,ctr,DP
5,33,0.5988550983899821,1,a5ia,DP
6,53,0.5437015966844077,1,ctr,DP
7,53,0.0003817820198002,0,a5ia,DP
8,57,0.0191385906223714,0,ctr,DP
9,57,-0.2211633600954349,0,a5ia,DP
10,68,0.4889969247413643,1,ctr,DP
11,68,-0.1822473583039811,0,a5ia,DP
12,81,0.255625005017915,0,ctr,DP
13,81,-0.0732977033078145,0,a5ia,DP
14,86,0.7001942980123116,1,ctr,DP
15,86,0.1063057673607549,0,a5ia,DP
16,88,0.0,0,ctr,DP
17,88,0.0,0,a5ia,DP
18,91,0.5560301781130902,1,ctr,DP
19,91,0.1703410037889309,0,a5ia,DP
20,92,0.7902785586506517,1,ctr,DP
21,92,0.310200335559284,0,a5ia,DP
22,98,0.0,0,ctr,DP
23,98,0.0,0,a5ia,DP
24,105,-0.6922028022533584,-1,ctr,DP
25,105,-0.5115114941011261,-1,a5ia,DP
26,109,0.6424184225665075,1,ctr,DP
27,109,0.3621939902560832,1,a5ia,DP
28,114,-0.4931481430452572,-1,ctr,DP
29,114,-0.4989095434393715,-1,a5ia,DP
30,122,-0.106419451958122,0,ctr,DP
31,122,0.3396039410354716,1,a5ia,DP
32,132,0.3961611523127265,1,ctr,DP
33,132,0.4561132706422836,1,a5ia,DP
34,136,0.547614732597819,1,ctr,DP
35,136,-0.0923268036311514,0,a5ia,DP
36,141,0.0,0,ctr,DP
37,141,0.5872192300889391,1,a5ia,DP
38,142,0.0,0,ctr,DP
39,142,-0.1908825653618373,0,a5ia,DP
40,143,0.6699894528005282,1,ctr,DP
41,143,-0.158108230232755,0,a5ia,DP
42,149,0.7454256986661785,1,ctr,DP
43,149,0.5447051633907043,1,a5ia,DP
44,151,0.8176627818811159,1,ctr,DP
45,151,0.639142212691252,1,a5ia,DP
46,158,0.0,0,ctr,DP
47,158,0.0,0,a5ia,DP
48,161,0.0,0,ctr,DP
49,161,0.6077054189490995,1,a5ia,DP
50,162,0.0,0,ctr,DP
51,162,0.0,0,a5ia,DP
52,163,0.0,0,ctr,DP
53,163,0.5509030841720286,1,a5ia,DP
54,164,0.8185734703520355,1,ctr,DP
55,164,0.3846504961166235,1,a5ia,DP
56,173,0.0,0,ctr,DP
57,173,-0.6407012910639021,-1,a5ia,DP
58,176,0.0,0,ctr,DP
59,176,0.0,0,a5ia,DP
60,181,0.8093649929443659,1,ctr,IL
61,181,0.6249464994055489,1,a5ia,IL
62,184,0.0,0,ctr,IL
63,184,0.0,0,a5ia,IL
64,185,0.8518792431027011,1,ctr,IL
65,185,0.6102432249247214,1,a5ia,IL
66,193,0.0,0,ctr,IL
67,193,0.2695798842209357,0,a5ia,IL
68,201,0.861853576150846,1,ctr,IL
69,201,0.531825020278003,1,a5ia,IL
70,205,0.7139172657473972,1,ctr,IL
71,205,0.6392328803653373,1,a5ia,IL
72,228,0.0,0,ctr,IL
73,228,0.0,0,a5ia,IL
74,230,0.0,0,ctr,IL
75,230,0.4042329308578102,1,a5ia,IL
76,231,0.0,0,ctr,IL
77,231,0.0731057011744574,0,a5ia,IL
78,236,0.3890461005122278,1,ctr,PrL
79,236,-0.4472294136601517,-1,a5ia,PrL
80,247,0.0,0,ctr,PrL
81,247,-0.4002539038357145,-1,a5ia,PrL
82,249,0.0,0,ctr,PrL
83,249,-0.2242580473116368,0,a5ia,PrL
84,250,0.7544759386215403,1,ctr,PrL
85,250,0.5362477360859564,1,a5ia,PrL
86,252,0.0,0,ctr,PrL
87,252,0.3671143012700141,0,a5ia,PrL
88,255,0.0,0,ctr,PrL
89,255,0.0,0,a5ia,PrL
90,260,0.2657469251200365,0,ctr,PrL
91,260,-0.0827014184833916,0,a5ia,PrL
92,262,0.0,0,ctr,PrL
93,262,-0.2421169124101379,0,a5ia,PrL
94,264,0.7767308525650284,1,ctr,PrL
95,264,0.6672380804231157,1,a5ia,PrL
96,267,0.3546186068734097,1,ctr,PrL
97,267,-0.1099856665074056,0,a5ia,PrL
98,273,0.3327685863176257,0,ctr,PrL
99,273,0.5875669729663662,1,a5ia,PrL
100,293,0.0,0,ctr,PrL
101,293,0.0,0,a5ia,PrL
102,305,0.1456892052146719,0,ctr,PrL
103,305,0.0,0,a5ia,PrL
104,316,0.0257638418204646,0,ctr,PrL
105,316,-0.1473225258058423,0,a5ia,PrL
106,317,0.219578488556209,0,ctr,PrL
107,317,0.1099465549617218,0,a5ia,PrL
108,318,0.0,0,ctr,PrL
109,318,0.6013970830625069,1,a5ia,PrL
110,319,0.0198634313542211,0,ctr,PrL
111,319,-0.0057926591192455,0,a5ia,PrL
112,320,0.0547788308758986,0,ctr,PrL
113,320,-0.3748126090289892,-1,a5ia,PrL
114,324,0.0,0,ctr,PrL
115,324,0.284091629651007,1,a5ia,PrL
116,328,0.8004502272247469,1,ctr,PrL
117,328,0.6940766008511206,1,a5ia,PrL
118,330,0.0,0,ctr,PrL
119,330,0.227871865242947,0,a5ia,PrL
120,332,0.0,0,ctr,PrL
121,332,0.1745635145461087,0,a5ia,PrL
122,336,0.0,0,ctr,PrL
123,336,0.6248291647684974,1,a5ia,PrL
124,337,-0.2895785214450583,-1,ctr,PrL
125,337,0.5102162835863849,1,a5ia,PrL
126,340,0.0,0,ctr,PrL
127,340,0.2230580339781553,0,a5ia,PrL
128,343,0.4322113928419405,1,ctr,PrL
129,343,0.1471727559870042,0,a5ia,PrL
130,362,0.0,0,ctr,PrL
131,362,0.5854953135749202,1,a5ia,PrL
132,368,0.8405128945877176,1,ctr,PrL
133,368,0.5849278325314725,1,a5ia,PrL
134,370,0.0,0,ctr,PrL
135,370,0.3711939433987004,1,a5ia,PrL
136,372,0.0,0,ctr,PrL
137,372,0.6188162090689896,1,a5ia,PrL
138,374,0.0,0,ctr,PrL
139,374,-0.5669022989144324,-1,a5ia,PrL
140,375,0.0,0,ctr,PrL
141,375,0.4445360504005599,1,a5ia,PrL
142,380,0.0,0,ctr,PrL
143,380,0.0,0,a5ia,PrL
144,382,0.0,0,ctr,PrL
145,382,0.0,0,a5ia,PrL
146,385,0.0,0,ctr,PrL
147,385,0.646256958410649,1,a5ia,PrL
148,389,0.7232045281686057,1,ctr,PrL
149,389,0.3456113956821742,1,a5ia,PrL
150,397,0.0,0,ctr,AC
151,397,0.0585842064911832,0,a5ia,AC
152,402,0.0,0,ctr,AC
153,402,0.1044362715141279,0,a5ia,AC
154,413,0.0,0,ctr,AC
155,413,0.2265376281958688,0,a5ia,AC
156,420,0.0,0,ctr,AC
157,420,0.4567650751675018,1,a5ia,AC
158,421,0.0,0,ctr,AC
159,421,0.0,0,a5ia,AC
160,426,0.0,0,ctr,AC
161,426,0.0,0,a5ia,AC
162,431,0.0,0,ctr,AC
163,431,0.2796173290814342,1,a5ia,AC
164,435,0.0,0,ctr,AC
165,435,0.0,0,a5ia,AC
166,437,0.0,0,ctr,AC
167,437,0.0806725540658331,0,a5ia,AC
168,438,-0.699777641875042,-1,ctr,AC
169,438,0.6094041044900498,1,a5ia,AC
170,445,0.0,0,ctr,M2
171,445,0.3405362281803131,0,a5ia,M2
172,446,0.0,0,ctr,M2
173,446,0.5468062578938707,1,a5ia,M2
174,462,0.0,0,ctr,M2
175,462,0.0,0,a5ia,M2
176,464,0.0,0,ctr,M2
177,464,0.0,0,a5ia,M2
178,466,0.0,0,ctr,M2
179,466,0.0,0,a5ia,M2
180,468,0.0,0,ctr,M2
181,468,0.0,0,a5ia,M2
182,469,0.0,0,ctr,M2
183,469,0.0,0,a5ia,M2
184,473,0.0,0,ctr,M2
185,473,0.0,0,a5ia,M2
186,487,-0.0108250664107407,0,ctr,M2
187,487,0.0,0,a5ia,M2
188,504,0.0,0,ctr,M2
189,504,0.4988326536961521,1,a5ia,M2
190,510,0.7267382970921898,1,ctr,M2
191,510,0.3021722048099284,0,a5ia,M2
192,658,0.4633472870449226,1,ctr,PrL
193,658,-0.2886400495882394,0,a5ia,PrL
194,661,0.7596208846764962,1,ctr,PrL
195,661,0.5214204602273358,1,a5ia,PrL
196,662,0.3064678496427737,0,ctr,DP
197,662,0.0454009488994322,0,a5ia,DP
198,665,0.7072253620737777,1,ctr,PrL
199,665,0.6525054722830254,1,a5ia,PrL
200,668,0.0,0,ctr,M2
201,668,0.0,0,a5ia,M2
202,671,-0.4361481602419485,-1,ctr,AC
203,671,0.0,0,a5ia,AC
204,676,-0.6411649018322425,-1,ctr,DP
205,676,-0.0964950643788744,0,a5ia,DP
206,680,0.0,0,ctr,PrL
207,680,-0.3225853979028006,-1,a5ia,PrL
208,682,0.0,0,ctr,PrL
209,682,-0.3628617525665673,-1,a5ia,PrL
210,692,-0.195007944532717,0,ctr,PrL
211,692,-0.0003149097083959,0,a5ia,PrL
212,696,0.0,0,ctr,IL
213,696,-0.3109737261922015,-1,a5ia,IL
214,698,0.5461076170231457,1,ctr,M2
215,698,0.4776452745112664,1,a5ia,M2
216,700,-0.4408066121025148,-1,ctr,DP
217,700,-0.140035778175313,0,a5ia,DP
218,707,-0.038257100247137,0,ctr,PrL
219,707,0.6629998111090122,1,a5ia,PrL
220,712,0.0,0,ctr,PrL
221,712,0.2825144385034496,1,a5ia,PrL
222,714,0.0,0,ctr,PrL
223,714,0.3801830419819264,1,a5ia,PrL
224,715,0.0,0,ctr,AC
225,715,-0.2726541406015622,0,a5ia,AC
226,716,0.5925220764178717,1,ctr,DP
227,716,0.3749115674743523,1,a5ia,DP
228,718,0.6810523763495993,1,ctr,PrL
229,718,0.5879184799288942,1,a5ia,PrL
230,719,0.5419270709240691,1,ctr,M2
231,719,0.4933158202421767,1,a5ia,M2
232,720,0.0,0,ctr,AC
233,720,0.0,0,a5ia,AC
234,722,0.6172185399862973,1,ctr,DP
235,722,0.5289147423989272,1,a5ia,DP
236,727,0.2342507633571372,0,ctr,DP
237,727,0.4492312203406016,1,a5ia,DP
238,728,0.0,0,ctr,PrL
239,728,-0.1768939455507173,0,a5ia,PrL
240,734,0.0514467640863679,0,ctr,DP
241,734,0.0,0,a5ia,DP
242,737,0.0,0,ctr,AC
243,737,-0.3586608740097111,0,a5ia,AC
244,742,0.5206518369782448,1,ctr,IL
245,742,0.1749143348854335,0,a5ia,IL
246,743,0.0,0,ctr,PrL
247,743,0.1261656627719667,0,a5ia,PrL
248,748,-0.2416652746798603,0,ctr,DP
249,748,0.0,0,a5ia,DP
250,749,0.0,0,ctr,DP
251,749,0.3692616338079105,1,a5ia,DP
252,750,0.0,0,ctr,PrL
253,750,-0.4678078645318281,-1,a5ia,PrL
254,751,0.0,0,ctr,DP
255,751,0.0,0,a5ia,DP
256,752,0.0,0,ctr,DP
257,752,0.0,0,a5ia,DP
258,753,0.0,0,ctr,PrL
259,753,0.4531018187582084,1,a5ia,PrL
260,755,0.6354883943154923,1,ctr,PrL
261,755,0.3090003222258025,1,a5ia,PrL
262,761,-0.2789950999455549,0,ctr,DP
263,761,-0.2616637962644029,0,a5ia,DP
264,765,0.0,0,ctr,IL
265,765,0.0,0,a5ia,IL
266,767,0.0,0,ctr,PrL
267,767,0.5684867609640106,1,a5ia,PrL
268,769,0.5834089246288501,1,ctr,PrL
269,769,0.0,0,a5ia,PrL
270,771,0.2809482899725456,1,ctr,DP
271,771,-0.4534952610584561,-1,a5ia,DP
272,772,0.0,0,ctr,IL
273,772,0.0,0,a5ia,IL
274,774,0.0,0,ctr,IL
275,774,0.4553624436715857,1,a5ia,IL
276,775,0.0,0,ctr,IL
277,775,0.0,0,a5ia,IL
278,776,0.0,0,ctr,DP
279,776,-0.5904086084928152,-1,a5ia,DP
280,777,0.0,0,ctr,DP
281,777,0.4721541327177607,1,a5ia,DP
