,pre,pre.1,post,sp_trans_p,treatment
125,140,140,157,0.0028921561695354,a5ia
126,140,140,264,0.0009736883186127,a5ia
127,140,140,293,0.0026238623342203,a5ia
128,140,140,334,0.0015358319740455,a5ia
129,140,140,367,0.0002532314772972,a5ia
130,140,140,460,0.000969223492777,a5ia
131,140,140,567,0.0005438153139603,a5ia
132,140,140,605,0.0060170814271294,a5ia
133,145,145,476,0.00478952685249,a5ia
134,145,145,493,0.0003765414728647,a5ia
135,145,145,564,0.0007852740132058,a5ia
136,145,145,576,0.0007889882798367,a5ia
137,151,151,212,0.0031968477482917,a5ia
138,151,151,564,0.0069011014207446,a5ia
139,151,151,575,0.0107141729409901,a5ia
140,151,151,582,-0.0017601295779869,a5ia
141,155,155,303,0.0012458152821878,a5ia
142,155,155,548,0.004663270810329,a5ia
143,157,157,485,0.0045250145772607,a5ia
144,200,200,578,0.0022883642778792,a5ia
145,202,202,314,0.0046120432141621,a5ia
146,202,202,391,0.008968404631421,a5ia
147,206,206,430,0.0085246866375977,a5ia
148,206,206,439,0.0063018843508707,a5ia
149,206,206,446,0.0005106339159324,a5ia
150,206,206,609,0.0064532477429102,a5ia
151,212,212,425,4.650517283987313e-05,a5ia
152,212,212,554,0.0019517289278742,a5ia
153,212,212,568,0.0047094306833211,a5ia
154,212,212,575,0.0029341597467657,a5ia
155,251,251,505,0.0034006558780994,a5ia
156,251,251,546,0.0001351532109398,a5ia
157,251,251,558,0.0019205230819174,a5ia
158,264,264,411,0.0018735311884529,a5ia
159,264,264,546,0.0003256728711746,a5ia
160,264,264,568,0.0087943252463379,a5ia
161,264,264,576,0.000336860841477,a5ia
162,282,282,300,0.0082851016731843,a5ia
163,282,282,301,0.0013782831508615,a5ia
164,282,282,319,0.0013383711399444,a5ia
165,282,282,398,0.0003536408413739,a5ia
166,282,282,514,0.0006087982775825,a5ia
167,282,282,550,0.0028720706143036,a5ia
168,288,288,401,0.0002918730251446,a5ia
169,288,288,517,8.436038786735489e-05,a5ia
170,288,288,550,0.0001146648549536,a5ia
171,288,288,568,0.0013238798164603,a5ia
172,293,293,401,0.0008418272735689,a5ia
173,293,293,434,0.0009438536390345,a5ia
174,293,293,558,0.0132692876651057,a5ia
175,293,293,571,0.0009990503808622,a5ia
176,293,293,574,0.0067396821658683,a5ia
177,298,298,303,0.0014474111147204,a5ia
178,298,298,476,0.0079301239709236,a5ia
179,298,298,567,0.0025403588972465,a5ia
180,298,298,582,0.0075412387802305,a5ia
181,298,298,583,0.0027215943030249,a5ia
182,298,298,608,0.0030986215838819,a5ia
183,300,300,319,0.0012188531683342,a5ia
184,300,300,322,0.0004143285541924,a5ia
185,300,300,439,0.0019956382792816,a5ia
186,300,300,551,0.001166841075386,a5ia
187,300,300,582,0.0010571742433108,a5ia
188,301,301,551,0.0009423036849471,a5ia
189,302,302,306,0.0013077453750737,a5ia
190,302,302,550,0.0028331920088374,a5ia
191,302,302,589,0.0046352808965934,a5ia
192,303,303,583,0.0012587796965246,a5ia
193,306,306,463,0.003458208106728,a5ia
194,306,306,478,0.0024786159972879,a5ia
195,306,306,549,0.0035997744017445,a5ia
196,306,306,607,0.0096300142520676,a5ia
197,314,314,551,0.00052164461436,a5ia
198,314,314,572,0.0030676439609279,a5ia
199,316,316,334,0.0052006452138242,a5ia
200,316,316,430,0.000847500935428,a5ia
201,316,316,444,0.0004848060140483,a5ia
202,319,319,402,1.4175090843580871e-05,a5ia
203,322,322,571,0.0005228502618793,a5ia
204,334,334,607,0.0048695629011411,a5ia
205,366,366,574,0.0027949049489463,a5ia
206,379,379,398,0.003335372134199,a5ia
207,379,379,401,0.0026589882286899,a5ia
208,381,381,401,0.000670611055973,a5ia
209,381,381,554,0.0006273808127131,a5ia
210,386,386,454,0.0038307505797033,a5ia
211,390,390,402,0.0001873756238306,a5ia
212,390,390,430,0.0010986986830268,a5ia
213,393,393,605,0.0025267239159968,a5ia
214,398,398,454,0.0022124901437413,a5ia
215,398,398,476,0.0010618193535661,a5ia
216,402,402,425,0.0003667015728292,a5ia
217,402,402,434,0.0029305040677568,a5ia
218,402,402,463,0.0007088038435817,a5ia
219,402,402,493,0.0036118962495199,a5ia
220,402,402,514,0.0009544591711611,a5ia
221,402,402,580,0.003276104670036,a5ia
222,402,402,582,0.0033786100330626,a5ia
223,411,411,425,0.0001118585323905,a5ia
224,411,411,440,0.0004254510887593,a5ia
225,411,411,444,0.0014129521566116,a5ia
226,411,411,607,0.0019147185955843,a5ia
227,425,425,448,0.0028063424273274,a5ia
228,429,429,581,0.0011381202923893,a5ia
229,430,430,454,0.0012752927199633,a5ia
230,430,430,460,0.000915541513766,a5ia
231,430,430,517,0.0009569274705433,a5ia
232,430,430,556,0.0011560134409244,a5ia
233,430,430,566,0.0045233466628052,a5ia
234,430,430,571,0.002691916783496,a5ia
235,430,430,594,0.0046389018961724,a5ia
236,434,434,554,0.0018194792814856,a5ia
237,437,437,478,0.0002475197092514,a5ia
238,437,437,549,0.0007517713357939,a5ia
239,439,439,444,0.0052070482338632,a5ia
240,439,439,454,0.0024924134945268,a5ia
241,439,439,460,0.0016637929698277,a5ia
242,439,439,566,0.0007458986802856,a5ia
243,440,440,444,0.001362196483666,a5ia
244,440,440,594,0.0025228316690029,a5ia
245,440,440,609,0.0042836389447557,a5ia
246,444,444,476,0.0010097195850914,a5ia
247,444,444,517,0.0002601180845863,a5ia
248,444,444,551,0.0006597386046666,a5ia
249,444,444,554,0.0003932763537149,a5ia
250,446,446,478,0.0008347195932246,a5ia
251,448,448,454,0.0103520583679878,a5ia
252,448,448,485,0.0003009144681061,a5ia
253,460,460,568,0.0075506832058525,a5ia
254,460,460,576,0.0052470751583067,a5ia
255,463,463,550,0.0001480727000056,a5ia
256,463,463,594,0.0027501757084467,a5ia
257,476,476,485,0.0176564202455076,a5ia
258,476,476,487,0.0079814256677565,a5ia
259,476,476,546,0.0005443474559737,a5ia
260,478,478,550,0.000915067901235,a5ia
261,478,478,570,6.825126162141038e-05,a5ia
262,478,478,609,0.0045017328446589,a5ia
263,484,484,485,0.0204228929441646,a5ia
264,484,484,554,0.014110474946317,a5ia
265,485,485,501,0.0020718906376083,a5ia
266,487,487,549,0.0001154143698699,a5ia
267,487,487,600,0.0040650329263516,a5ia
268,499,499,548,0.0021612963106578,a5ia
269,501,501,505,0.0052352168391288,a5ia
270,501,501,568,0.0016322426305068,a5ia
271,501,501,576,0.0039691747498629,a5ia
272,505,505,514,0.0002979137425057,a5ia
273,505,505,600,0.0058383438163861,a5ia
