,node_id,ccs,moduls,treatment,region
0,0,0.654873054145046,1,ctr,DP
1,0,0.4865516283514261,1,a5ia,DP
2,3,0.0,0,ctr,DP
3,3,0.0,0,a5ia,DP
4,6,-0.3972155246169401,-1,ctr,DP
5,6,0.4180557561750685,1,a5ia,DP
6,7,0.5058403433194115,1,ctr,DP
7,7,-0.0554015044611606,0,a5ia,DP
8,9,0.5746414960166224,1,ctr,DP
9,9,0.1551199457771753,0,a5ia,DP
10,14,0.4124996944410494,1,ctr,DP
11,14,0.0422849142768253,0,a5ia,DP
12,21,0.6570721896909965,1,ctr,DP
13,21,0.4471911910132335,1,a5ia,DP
14,34,0.5989684391836385,1,ctr,DP
15,34,0.1257796979767307,0,a5ia,DP
16,37,0.0,0,ctr,DP
17,37,0.0,0,a5ia,DP
18,47,0.6124607105552919,1,ctr,DP
19,47,0.2713455406428997,1,a5ia,DP
20,49,0.5772265219570002,1,ctr,DP
21,49,0.1469212133038747,0,a5ia,DP
22,50,0.0,0,ctr,DP
23,50,0.0,0,a5ia,DP
24,54,0.8287092078800876,1,ctr,DP
25,54,0.3773628595873287,1,a5ia,DP
26,55,0.0,0,ctr,DP
27,55,0.0,0,a5ia,DP
28,61,0.6461214013489038,1,ctr,DP
29,61,0.1730721153259608,0,a5ia,DP
30,62,0.3549994999944443,1,ctr,DP
31,62,-0.070859898443316,0,a5ia,DP
32,68,0.3997298634551642,1,ctr,DP
33,68,-0.0924230371918623,0,a5ia,DP
34,75,0.4775813064589607,1,ctr,DP
35,75,0.1410095667729641,1,a5ia,DP
36,76,0.0,0,ctr,DP
37,76,0.0922388026533628,0,a5ia,DP
38,79,0.0,0,ctr,DP
39,79,0.0,0,a5ia,DP
40,81,0.0,0,ctr,DP
41,81,0.0748777208635651,0,a5ia,DP
42,88,0.7410989010989011,1,ctr,DP
43,88,0.2216944632718141,0,a5ia,DP
44,90,0.0592853643646979,0,ctr,DP
45,90,-0.1094465494061045,0,a5ia,DP
46,91,0.5881718685763174,1,ctr,DP
47,91,0.1010344559383993,0,a5ia,DP
48,94,0.1938559317325748,0,ctr,DP
49,94,-0.2144504607473481,-1,a5ia,DP
50,97,0.1184097089220244,0,ctr,DP
51,97,-0.0375665501858131,0,a5ia,DP
52,107,-0.1456920794333367,0,ctr,DP
53,107,-0.1200129023670161,0,a5ia,DP
54,114,0.3234098156646184,1,ctr,DP
55,114,-0.1861959707525858,-1,a5ia,DP
56,127,0.4235428348651316,1,ctr,DP
57,127,0.0,0,a5ia,DP
58,130,0.4908107867865198,1,ctr,DP
59,130,-0.0947180149808734,0,a5ia,DP
60,131,0.4798964432938143,1,ctr,DP
61,131,0.366460516227958,1,a5ia,DP
62,133,0.2119826713570006,0,ctr,DP
63,133,0.0,0,a5ia,DP
64,134,0.0,0,ctr,DP
65,134,0.0,0,a5ia,DP
66,138,0.3927714752386138,1,ctr,DP
67,138,-0.296009955666174,0,a5ia,DP
68,142,-0.5144657162857365,-1,ctr,DP
69,142,0.0,0,a5ia,DP
70,145,0.2666940743786042,1,ctr,DP
71,145,0.1181262014022377,0,a5ia,DP
72,152,0.0,0,ctr,DP
73,152,-0.0557204773793852,0,a5ia,DP
74,156,-0.4504094489938777,-1,ctr,DP
75,156,-0.2224229158101756,0,a5ia,DP
76,160,0.4386519850220558,1,ctr,DP
77,160,0.2776310847898309,1,a5ia,DP
78,163,0.4617789599638869,1,ctr,DP
79,163,0.0,0,a5ia,DP
80,164,0.7259449549439438,1,ctr,DP
81,164,0.3832567028522539,1,a5ia,DP
82,165,0.4337385970955232,1,ctr,DP
83,165,-0.1264661311819893,0,a5ia,DP
84,170,0.4993682704076762,1,ctr,DP
85,170,0.1400246669407437,0,a5ia,DP
86,176,0.4171477460860676,1,ctr,DP
87,176,0.0,0,a5ia,DP
88,185,0.4925410001133513,1,ctr,DP
89,185,0.1277970316112341,0,a5ia,DP
90,186,0.3835973444106681,1,ctr,DP
91,186,0.2389839887109856,0,a5ia,DP
92,188,0.3502145579395326,0,ctr,DP
93,188,-0.2009986777630862,0,a5ia,DP
94,189,0.605265391837687,1,ctr,DP
95,189,0.2006031178124201,0,a5ia,DP
96,194,0.2686478738652652,0,ctr,DP
97,194,0.0047249413882376,0,a5ia,DP
98,232,0.6036253736152624,1,ctr,IL
99,232,0.4216091289903221,1,a5ia,IL
100,234,0.7280312012742484,1,ctr,IL
101,234,0.3917245676778674,1,a5ia,IL
102,236,0.8707083412037911,1,ctr,IL
103,236,0.1211075678618651,0,a5ia,IL
104,238,0.7170493005477838,1,ctr,IL
105,238,0.3882361085087379,1,a5ia,IL
106,239,0.3705307836753741,1,ctr,IL
107,239,0.0115707952310581,0,a5ia,IL
108,245,0.3837380415337947,1,ctr,IL
109,245,0.3961128456982855,1,a5ia,IL
110,255,0.2045660961935396,0,ctr,IL
111,255,0.2247393859931777,0,a5ia,IL
112,270,-0.2192882143134923,-1,ctr,IL
113,270,-0.1410806786742075,0,a5ia,IL
114,279,0.2519263547372748,0,ctr,IL
115,279,0.0304403382259802,0,a5ia,IL
116,282,0.0,0,ctr,IL
117,282,0.0,0,a5ia,IL
118,283,0.6590553228369204,1,ctr,IL
119,283,0.1811491238791542,0,a5ia,IL
120,285,-0.4345141612684585,-1,ctr,PrL
121,285,-0.3191448793875487,-1,a5ia,PrL
122,290,0.7609768997433304,1,ctr,PrL
123,290,0.383539817109079,1,a5ia,PrL
124,296,0.794786608740097,1,ctr,PrL
125,296,0.3819882443138257,1,a5ia,PrL
126,297,-0.6533303703374482,-1,ctr,PrL
127,297,-0.1833567039633773,0,a5ia,PrL
128,301,0.5945652729474772,1,ctr,PrL
129,301,0.3330641451571683,1,a5ia,PrL
130,302,-0.8006648962766252,-1,ctr,PrL
131,302,0.1677298636651518,0,a5ia,PrL
132,304,0.5968048533872597,1,ctr,PrL
133,304,0.1858358426204735,0,a5ia,PrL
134,309,0.0,0,ctr,PrL
135,309,0.0,0,a5ia,PrL
136,312,-0.2650771675240836,-1,ctr,PrL
137,312,-0.160292892143246,0,a5ia,PrL
138,313,0.5765730730341448,1,ctr,PrL
139,313,0.0,0,a5ia,PrL
140,321,0.0265945177168635,0,ctr,PrL
141,321,0.0,0,a5ia,PrL
142,322,0.8330763675151945,1,ctr,PrL
143,322,0.3325872509694552,1,a5ia,PrL
144,323,0.0,0,ctr,PrL
145,323,0.0,0,a5ia,PrL
146,327,0.8040893787708753,1,ctr,PrL
147,327,0.3065616284625384,1,a5ia,PrL
148,329,0.0,0,ctr,PrL
149,329,0.0,0,a5ia,PrL
150,331,0.400616895743286,1,ctr,PrL
151,331,0.127548972766364,0,a5ia,PrL
152,333,0.4515494572423587,1,ctr,PrL
153,333,0.2206064756948952,1,a5ia,PrL
154,342,0.6696643296036623,1,ctr,PrL
155,342,0.1961368459649551,0,a5ia,PrL
156,348,0.194848831653685,1,ctr,PrL
157,348,-0.288823653596151,-1,a5ia,PrL
158,349,0.0,0,ctr,PrL
159,349,0.1973990822120246,0,a5ia,PrL
160,352,0.0,0,ctr,PrL
161,352,0.0,0,a5ia,PrL
162,354,0.6284780942010466,1,ctr,PrL
163,354,-0.1493305481172012,0,a5ia,PrL
164,355,0.6182739808220091,1,ctr,PrL
165,355,0.0712941254902832,0,a5ia,PrL
166,356,0.6332819886724761,1,ctr,PrL
167,356,0.0218389093212146,0,a5ia,PrL
168,357,0.5097549972777474,1,ctr,PrL
169,357,0.2549237213746819,0,a5ia,PrL
170,358,0.6107898976655296,1,ctr,PrL
171,358,0.0741834909276769,0,a5ia,PrL
172,362,0.6314407937865976,1,ctr,PrL
173,362,0.2490529894776608,0,a5ia,PrL
174,374,-0.1517141301570017,0,ctr,PrL
175,374,0.0,0,a5ia,PrL
176,377,0.4451209457882865,1,ctr,PrL
177,377,0.2627602528916988,0,a5ia,PrL
178,380,0.132207246747186,0,ctr,PrL
179,380,-0.2096809964555161,0,a5ia,PrL
180,381,0.7908936765964065,1,ctr,PrL
181,381,0.4340137112634585,1,a5ia,PrL
182,385,0.72741519350215,1,ctr,PrL
183,385,-0.2339528216980188,0,a5ia,PrL
184,388,0.5293267702974477,1,ctr,PrL
185,388,0.2209624551383904,0,a5ia,PrL
186,400,-0.1223302481138679,0,ctr,AC
187,400,-0.2559299547772753,0,a5ia,AC
188,410,-0.1996231069234102,0,ctr,AC
189,410,0.040075556395071,0,a5ia,AC
190,413,0.4897790707823019,1,ctr,AC
191,413,-0.0417667034419495,0,a5ia,AC
192,415,-0.3681623129145879,-1,ctr,AC
193,415,0.0376501961132901,0,a5ia,AC
194,416,0.0,0,ctr,AC
195,416,0.0,0,a5ia,AC
196,418,0.5272623029144768,1,ctr,AC
197,418,0.1291041011566795,0,a5ia,AC
198,421,0.6247068205410009,1,ctr,AC
199,421,-0.2072165264763802,0,a5ia,AC
200,425,0.0,0,ctr,AC
201,425,0.0,0,a5ia,AC
202,431,0.5367945825204329,1,ctr,AC
203,431,0.268387315848511,1,a5ia,AC
204,433,0.0,0,ctr,AC
205,433,0.0,0,a5ia,AC
206,434,0.4216882409804553,1,ctr,AC
207,434,0.0004724496938854,0,a5ia,AC
208,451,0.6379688933064951,1,ctr,AC
209,451,-0.1447400514625725,0,a5ia,AC
210,455,0.0,0,ctr,AC
211,455,0.0,0,a5ia,AC
212,456,0.0,0,ctr,AC
213,456,0.0,0,a5ia,AC
214,463,0.4987451570029852,1,ctr,M2
215,463,0.0,0,a5ia,M2
216,464,0.0,0,ctr,M2
217,464,0.0,0,a5ia,M2
218,465,0.3901347218861291,1,ctr,M2
219,465,0.0,0,a5ia,M2
220,469,-0.1673710696199219,0,ctr,M2
221,469,-0.0047415193643163,0,a5ia,M2
222,477,0.1254298381093123,0,ctr,M2
223,477,0.2270349670551894,1,a5ia,M2
224,486,0.1020358003977821,0,ctr,M2
225,486,-0.0934272603028922,0,a5ia,M2
226,487,0.4230536386107758,1,ctr,M2
227,487,0.0455611557079071,0,a5ia,M2
228,493,0.6275559314610124,1,ctr,M2
229,493,0.335928621429127,1,a5ia,M2
230,499,0.3520084074285205,1,ctr,M2
231,499,0.1547775126251675,0,a5ia,M2
232,506,0.314412382359804,1,ctr,M2
233,506,0.3394433271480794,1,a5ia,M2
